openWRF 1km
18z_1km_Ako_Hatmarim.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,3.8,111,3.8
1108-0730,1.5,069,3.1
1108-0800,3.1,354,8.7
1108-0830,11.2,354,11.2
1108-0900,11.9,347,11.9
1108-0930,13.2,345,13.2
1108-1000,14.1,344,14.1
1108-1030,14.6,344,14.6
1108-1100,14.9,342,15.9
1108-1130,15.4,343,15.4
1108-1200,15.8,344,15.8
1108-1230,16.1,345,16.8
1108-1300,16.8,346,17.8
1108-1330,17.7,348,18.6
1108-1400,17.8,351,19
1108-1430,17.8,353,18.9
1108-1500,17.9,354,19
1108-1530,17.9,356,19
1108-1600,16.9,358,18.9
1108-1630,15.6,359,18.6
1108-1700,14.7,001,18.1
1108-1730,13.9,003,17.8
1108-1800,12.4,007,17.5
1108-1830,11.1,007,18.4
1108-1900,8.2,010,16.7
1108-1930,8.1,008,16.3
1108-2000,9,005,16.3
1108-2030,9.6,005,16.9
1108-2100,10.1,008,16.8
1108-2130,9.5,009,15.5
1108-2200,8.8,009,14.6
1108-2230,9.3,007,14.6
1108-2300,9.5,006,14.7
1109--070,9.6,010,14.9
1109-0000,9.6,008,14.8
1109-0030,9.4,010,15.3
1109-0100,9.4,014,12.1
1109-0130,9.5,014,12.3
1109-0200,9.7,014,12.6
1109-0230,9.9,014,13
1109-0300,10.2,011,13.2
1109-0330,10.7,010,13.9
1109-0400,11.2,012,14.8
1109-0430,10.2,019,13.6
1109-0500,4.9,045,9.8
1109-0530,4.3,051,9.7
1109-0600,4.8,046,10.5
1109-0630,4.8,036,11.1
1109-0700,7.1,018,11.4
1109-0730,7.5,013,13.9
1109-0800,6.8,007,10.9
1109-0830,10.4,005,10.5
1109-0900,13.6,357,13.6
1109-0930,14,355,14
1109-1000,14.3,352,14.3
1109-1030,14.6,350,14.6
1109-1100,15.7,349,15.7
1109-1130,16.7,350,16.7
1109-1200,18.7,349,18.7
1109-1230,19.3,350,20.3
1109-1300,19.9,352,21.6
1109-1330,20.4,354,22.6
1109-1400,21,355,23.6
1109-1430,20.9,357,23.8
1109-1500,20.4,358,24.1
1109-1530,19.6,360,23.8
1109-1600,17.9,002,22.7
1109-1630,16.1,002,22
1109-1700,14.8,003,21.9
1109-1730,13.5,002,18.2
1109-1800,12,002,18.9
1109-1830,10.3,001,17.8
1109-1900,11.1,358,17.3
1109-1930,14.6,358,18.5
1109-2000,15.2,358,19.2
1109-2030,13.5,001,14.9
1109-2100,13.2,001,15.8
1109-2130,11.4,002,14.3
1109-2200,10.6,003,14.6
