openWRF 1km
18z_1km_Ako_Hatmarim_wind_station.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,3.2,117,3.1
1108-0730,0.9,072,2.3
1108-0800,2.8,348,11.2
1108-0830,9.5,353,9.5
1108-0900,10.4,345,10.4
1108-0930,12.1,342,12.1
1108-1000,13.1,341,13.1
1108-1030,13.7,341,13.7
1108-1100,14,339,14
1108-1130,14.4,341,14.4
1108-1200,14.8,341,14.8
1108-1230,15,342,15
1108-1300,15.7,344,15.7
1108-1330,16.5,346,16.5
1108-1400,16.5,349,16.5
1108-1430,16.3,351,16.3
1108-1500,16.4,352,16.4
1108-1530,16.2,355,16.2
1108-1600,15.1,356,18.2
1108-1630,13.8,358,18.2
1108-1700,12.4,000,17.8
1108-1730,11.2,002,17.4
1108-1800,9.9,006,18.3
1108-1830,7.9,008,15.8
1108-1900,5.7,009,11.7
1108-1930,5.8,004,5.8
1108-2000,6.1,360,13.6
1108-2030,6.1,002,13.2
1108-2100,6.3,006,12.8
1108-2130,6.3,007,15.2
1108-2200,5.5,006,14.6
1108-2230,5.8,003,14.8
1108-2300,5.8,003,14.5
1109--070,5.8,007,14.6
1109-0000,5.7,005,14.2
1109-0030,5.4,008,14
1109-0100,5.5,013,14.2
1109-0130,5.5,012,14.7
1109-0200,5.7,009,15.3
1109-0230,6,010,15.2
1109-0300,6.1,007,14.7
1109-0330,6.2,008,14.8
1109-0400,5.7,014,14.5
1109-0430,3.6,038,13.8
1109-0500,2.6,081,2.6
1109-0530,2.6,072,2.6
1109-0600,2.6,068,2.6
1109-0630,2.3,057,2.3
1109-0700,2.3,048,9.4
1109-0730,3.1,035,7.9
1109-0800,3.8,017,9.2
1109-0830,4.9,013,9.7
1109-0900,9.9,356,9.9
1109-0930,11.1,353,11.1
1109-1000,11.5,350,11.5
1109-1030,12.3,347,12.3
1109-1100,13.8,346,13.8
1109-1130,15,347,15
1109-1200,17,347,17
1109-1230,17.7,348,17.7
1109-1300,18.2,350,18.3
1109-1330,18.8,352,18.8
1109-1400,19.4,354,21.1
1109-1430,19.3,355,21.9
1109-1500,18.9,356,22.7
1109-1530,17.9,358,22.8
1109-1600,14.8,000,22.3
1109-1630,12.6,001,20.3
1109-1700,10.9,001,20.9
1109-1730,8.7,000,8.7
1109-1800,7.8,359,16.9
1109-1830,6,358,16.4
1109-1900,5.8,353,16.6
1109-1930,8.4,354,16.9
1109-2000,9.5,356,17
1109-2030,7.1,359,17.1
1109-2100,7.1,358,17.1
1109-2130,5.5,003,16.9
1109-2200,5.3,004,16.4
