openWRF 1km
18z_1km_Ashdod_Hakshatot.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,6.2,017,12.4
1108-0730,7.6,010,11.3
1108-0800,7.9,011,11.4
1108-0830,8.3,359,11.7
1108-0900,8.4,001,9.2
1108-0930,6.9,358,10.2
1108-1000,8,356,10.2
1108-1030,9.2,345,10.8
1108-1100,9.5,352,11.6
1108-1130,11.3,350,12.1
1108-1200,12.1,350,13.4
1108-1230,13.2,352,14.2
1108-1300,15.1,357,15.3
1108-1330,14.2,352,16.5
1108-1400,15,356,16.6
1108-1430,15.8,356,17.2
1108-1500,16.8,002,17.2
1108-1530,16.7,000,17.7
1108-1600,17.2,008,17.3
1108-1630,16.8,008,17.7
1108-1700,16.1,015,18
1108-1730,15.8,015,17.7
1108-1800,15.3,015,17.8
1108-1830,15.1,020,18.3
1108-1900,14.5,026,16.4
1108-1930,12.6,025,15.8
1108-2000,9.4,032,14.9
1108-2030,9.5,036,14.5
1108-2100,8.7,033,14.2
1108-2130,9.5,023,14.6
1108-2200,12,014,14.9
1108-2230,13.1,011,15.3
1108-2300,13.8,018,14.7
1109--070,13.4,013,15
1109-0000,12.2,019,14.9
1109-0030,12.6,015,15
1109-0100,13.3,018,14.9
1109-0130,8.2,054,10.5
1109-0200,8.8,052,12.1
1109-0230,9.9,037,14
1109-0300,9.6,036,12.1
1109-0330,9.3,034,14
1109-0400,9.6,031,14.9
1109-0430,8.8,038,11.4
1109-0500,9.3,035,11.8
1109-0530,9.4,032,11.9
1109-0600,9.8,028,12.6
1109-0630,9.3,032,12.2
1109-0700,11.6,021,15.6
1109-0730,12.8,018,16.4
1109-0800,14.2,014,16.5
1109-0830,15.3,013,16.3
1109-0900,13.9,011,16.1
1109-0930,15,014,15.2
1109-1000,13.8,006,16.3
1109-1030,14.2,003,15.6
1109-1100,14.1,358,14.6
1109-1130,14.5,357,14.5
1109-1200,14.7,356,14.7
1109-1230,14.5,353,14.5
1109-1300,14.9,351,15.2
1109-1330,15.3,350,16.5
1109-1400,15.8,348,17.9
1109-1430,15.8,351,19.4
1109-1500,16.5,353,20.6
1109-1530,15.8,000,19.2
1109-1600,15,004,18.9
1109-1630,15.1,012,18.4
1109-1700,14.5,018,17.6
1109-1730,14.3,019,18.3
1109-1800,14.1,018,16.9
1109-1830,14.9,019,17.4
1109-1900,12.5,012,15.9
1109-1930,12.9,013,16.8
1109-2000,12.7,012,16.6
1109-2030,12.3,011,16.3
1109-2100,12.2,010,16
1109-2130,11.8,008,17.2
1109-2200,12.7,014,18.4
