openWRF 1km
18z_1km_Ashkelon.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,4.5,048,7.1
1108-0730,3.8,026,8.6
1108-0800,6.6,010,11.2
1108-0830,7,007,9.7
1108-0900,7.1,006,10.3
1108-0930,6.2,359,10.8
1108-1000,7.3,003,10.3
1108-1030,7.8,356,10.8
1108-1100,9.2,356,11.5
1108-1130,10,354,12.6
1108-1200,11.6,357,13.2
1108-1230,12.3,359,14.4
1108-1300,13.2,355,16.2
1108-1330,15.1,360,15.8
1108-1400,15,358,17.5
1108-1430,15.1,359,16.7
1108-1500,16.1,006,17.4
1108-1530,16.6,010,17
1108-1600,16.1,007,18.3
1108-1630,15.5,009,18.1
1108-1700,16.2,016,16.9
1108-1730,15.8,017,17.7
1108-1800,16.2,022,18.2
1108-1830,15.5,022,17.7
1108-1900,15.3,023,17.7
1108-1930,14.9,023,18
1108-2000,13.1,026,17.2
1108-2030,11.8,036,14.8
1108-2100,9.7,031,12.6
1108-2130,12.5,021,15.1
1108-2200,13.8,022,15.2
1108-2230,13.8,020,15.1
1108-2300,13.9,019,15.3
1109--070,13.9,019,15
1109-0000,14.4,017,15.2
1109-0030,13.8,015,16.3
1109-0100,14,012,16.2
1109-0130,11,031,14
1109-0200,7.1,060,11.3
1109-0230,7.4,048,10
1109-0300,8.4,050,10.7
1109-0330,8.4,054,10.9
1109-0400,7.9,057,10.7
1109-0430,8.6,052,11.5
1109-0500,7.7,046,11.1
1109-0530,7.4,046,10.9
1109-0600,7.5,050,11.7
1109-0630,8.1,045,12.5
1109-0700,8.9,036,13.6
1109-0730,14.6,014,14.6
1109-0800,14,015,14.1
1109-0830,14.1,017,14.2
1109-0900,14,019,16
1109-0930,12.7,013,16.4
1109-1000,14.2,017,14.9
1109-1030,12.3,008,15.8
1109-1100,12.6,003,15.3
1109-1130,12.7,359,14.9
1109-1200,13.6,359,14
1109-1230,14.3,356,14.6
1109-1300,14.7,353,15.2
1109-1330,14.5,352,16.1
1109-1400,14.7,352,16.5
1109-1430,14.5,353,17.5
1109-1500,15.4,355,17.2
1109-1530,14.2,005,18.1
1109-1600,14.3,015,17.4
1109-1630,13.7,016,17.9
1109-1700,13.7,019,18.2
1109-1730,13.7,023,17.2
1109-1800,13.9,022,16
1109-1830,12.9,017,16.9
1109-1900,13.4,018,17.2
1109-1930,13.4,015,17.5
1109-2000,12.3,017,15.1
1109-2030,11.5,010,15
1109-2100,11.9,012,14.9
1109-2130,11.1,012,15.3
1109-2200,10.9,015,14.8
