openWRF 1km
18z_1km_Atlit_Mivtzar.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,9.8,014,12.9
1108-0730,10.1,010,13.5
1108-0800,11.5,006,13.7
1108-0830,11.9,001,13.3
1108-0900,12.3,356,13.4
1108-0930,12.9,355,13.9
1108-1000,13.5,354,14.2
1108-1030,13.3,353,14.3
1108-1100,12.9,351,13.6
1108-1130,13.1,351,14.3
1108-1200,14,350,14.3
1108-1230,14.2,352,15.3
1108-1300,14.7,354,16
1108-1330,15.1,353,16.7
1108-1400,15.6,358,15.6
1108-1430,17,357,18.1
1108-1500,17.6,001,18.5
1108-1530,17.4,002,18.8
1108-1600,17.1,002,18.6
1108-1630,16.9,003,18.6
1108-1700,16.8,005,18.8
1108-1730,16.4,007,18.8
1108-1800,16,008,18.8
1108-1830,15.8,008,18.5
1108-1900,15.3,010,17.7
1108-1930,15,010,17.3
1108-2000,14.9,011,16.9
1108-2030,13.3,014,16.3
1108-2100,12.7,016,17.1
1108-2130,12.4,014,16.5
1108-2200,12.3,014,16.1
1108-2230,12.5,013,16.1
1108-2300,12.8,012,16
1109--070,13,012,16.2
1109-0000,13,013,14.2
1109-0030,13.1,014,16.9
1109-0100,13.6,013,17.2
1109-0130,13.7,014,17.6
1109-0200,13.4,014,17.5
1109-0230,13.2,014,17.6
1109-0300,13,016,17.7
1109-0330,13.5,012,17.5
1109-0400,13.8,013,17.7
1109-0430,13.8,012,17.5
1109-0500,14.3,011,16.8
1109-0530,14.2,011,16.4
1109-0600,14.1,011,16.1
1109-0630,14.1,010,16.1
1109-0700,14.1,008,16
1109-0730,14.3,009,16.3
1109-0800,15,007,16.2
1109-0830,15.9,006,16.2
1109-0900,16.3,004,16.3
1109-0930,16.5,002,16.6
1109-1000,16.8,359,16.8
1109-1030,17.1,356,17.1
1109-1100,17.2,355,17.2
1109-1130,17.6,356,17.6
1109-1200,18.1,357,18.5
1109-1230,18.3,357,19.3
1109-1300,18.4,358,18.4
1109-1330,18.7,360,20.2
1109-1400,19.1,002,21.2
1109-1430,18.7,002,21.8
1109-1500,19.1,004,22.8
1109-1530,18.8,006,22.5
1109-1600,17.9,007,22.2
1109-1630,17.1,008,22.2
1109-1700,17.2,008,23
1109-1730,17.5,008,22.9
1109-1800,17.4,009,22.1
1109-1830,17.7,008,22.2
1109-1900,17,008,21.6
1109-1930,16.9,008,21.3
1109-2000,16.7,009,21
1109-2030,16.3,009,20.8
1109-2100,16.3,008,20.6
1109-2130,16.2,007,20.4
1109-2200,16.3,006,20.3
