openWRF 1km
18z_1km_Atlit_Mivtzar_wind_station.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,8,010,13.6
1108-0730,9.1,007,13.5
1108-0800,10.4,005,13.5
1108-0830,10.9,002,12.6
1108-0900,12.1,352,12.4
1108-0930,12.8,351,12.8
1108-1000,13.5,349,13.7
1108-1030,13.7,346,13.8
1108-1100,13.4,346,14
1108-1130,13.3,347,13.8
1108-1200,13.9,348,13.9
1108-1230,14.3,349,14.8
1108-1300,14.8,351,15.7
1108-1330,14.9,352,16.5
1108-1400,16.2,356,16.2
1108-1430,16.6,355,16.6
1108-1500,16.9,356,18.4
1108-1530,16.8,358,18.4
1108-1600,15.9,001,18.3
1108-1630,14.8,002,18.3
1108-1700,14.7,003,18.5
1108-1730,14.2,005,18.6
1108-1800,14,006,18.6
1108-1830,13.6,006,18.3
1108-1900,13.1,008,17.6
1108-1930,12.9,008,18.5
1108-2000,12.3,009,18.1
1108-2030,11,013,16.8
1108-2100,10.6,013,16.9
1108-2130,10.2,012,16
1108-2200,10.2,013,15.9
1108-2230,10.4,011,16.1
1108-2300,10.6,011,16.1
1109--070,10.9,012,16.4
1109-0000,10.7,012,16.7
1109-0030,10.9,012,17
1109-0100,11.5,011,17.3
1109-0130,11.7,010,17.3
1109-0200,11.4,010,16.8
1109-0230,11.1,009,16.9
1109-0300,10.8,011,17
1109-0330,11.6,007,17
1109-0400,11.7,009,16.7
1109-0430,11.8,007,16.6
1109-0500,12.3,006,16.1
1109-0530,12.2,006,15.5
1109-0600,11.9,007,15.2
1109-0630,11.6,006,15.2
1109-0700,11.3,005,14.9
1109-0730,11.7,006,14.4
1109-0800,12.6,005,14.6
1109-0830,13.8,004,14.7
1109-0900,14.3,004,14.7
1109-0930,14.5,001,14.5
1109-1000,15,356,15.1
1109-1030,16,352,16
1109-1100,16.5,352,16.5
1109-1130,16.9,352,16.9
1109-1200,17.5,353,17.5
1109-1230,17.8,354,18.4
1109-1300,18,354,18
1109-1330,18.3,357,19
1109-1400,18.5,357,20.1
1109-1430,18,360,20.6
1109-1500,18.3,001,21.7
1109-1530,17.4,003,21.5
1109-1600,15.6,005,21.3
1109-1630,14.5,005,20.7
1109-1700,14.6,005,19.1
1109-1730,14.8,005,19.3
1109-1800,14.9,005,19.4
1109-1830,15.1,005,19.4
1109-1900,14.7,005,18.8
1109-1930,14.7,005,18.8
1109-2000,14.4,005,18.9
1109-2030,13.9,006,18.2
1109-2100,14.3,004,18.2
1109-2130,14.2,004,17.9
1109-2200,14.4,004,18
