openWRF 1km
18z_1km_Bat_Galim_Church.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,9.5,040,11.5
1108-0730,8.2,042,12.3
1108-0800,7.9,044,12.5
1108-0830,7.3,036,12.1
1108-0900,9.6,018,11.9
1108-0930,10.1,013,12.1
1108-1000,10.3,006,12.1
1108-1030,10.6,359,12.2
1108-1100,11.1,352,12.5
1108-1130,12.1,351,12.7
1108-1200,12.3,351,13.5
1108-1230,12.9,352,14
1108-1300,13.2,352,13.2
1108-1330,13.9,355,13.9
1108-1400,14.2,358,14.4
1108-1430,14.6,003,14.7
1108-1500,14.8,005,14.8
1108-1530,14.6,006,14.7
1108-1600,14.4,005,14.4
1108-1630,14.2,006,14.2
1108-1700,13.8,008,14
1108-1730,13.7,011,14.2
1108-1800,13.7,011,14.2
1108-1830,13.6,014,13.9
1108-1900,13.4,015,13.4
1108-1930,13.4,016,14.7
1108-2000,13.4,016,14.6
1108-2030,12.5,021,14.4
1108-2100,12.4,024,14.2
1108-2130,12.1,020,14.1
1108-2200,11.6,019,13.7
1108-2230,11.7,020,13.8
1108-2300,11.7,016,13.7
1109--070,11.9,016,13.7
1109-0000,12.3,017,13.9
1109-0030,12.4,019,14
1109-0100,12.7,020,14.1
1109-0130,13.2,021,14.5
1109-0200,13.6,023,14.9
1109-0230,14,022,15.2
1109-0300,14.2,023,15.4
1109-0330,14.2,021,14.8
1109-0400,14.3,023,14.8
1109-0430,14,025,14.7
1109-0500,13.6,024,16.4
1109-0530,13.4,026,16.2
1109-0600,13.6,027,13.6
1109-0630,13.4,028,13.4
1109-0700,13.1,026,15.9
1109-0730,13.4,022,15.9
1109-0800,13.2,020,15.8
1109-0830,13.6,019,16.2
1109-0900,13.9,020,16.4
1109-0930,14.1,018,15.6
1109-1000,14.1,015,14.1
1109-1030,13.9,012,13.9
1109-1100,14.8,007,14.8
1109-1130,15.6,004,15.6
1109-1200,16.6,002,16.6
1109-1230,16.3,002,16.3
1109-1300,16.5,002,17.6
1109-1330,16.8,002,19.1
1109-1400,16.9,004,19.9
1109-1430,17.3,006,20.8
1109-1500,17.4,007,21.1
1109-1530,16.7,010,20.4
1109-1600,15.6,014,19.4
1109-1630,15,016,19.1
1109-1700,15.3,016,19.8
1109-1730,15,016,19.3
1109-1800,15.5,017,19.6
1109-1830,15,017,19
1109-1900,14.7,016,18.9
1109-1930,15.1,014,18.9
1109-2000,15.3,014,18.7
1109-2030,14.5,018,17.6
1109-2100,14.1,019,17.5
1109-2130,13.1,021,17.3
1109-2200,12.6,020,17.2
