openWRF 1km
18z_1km_Bat_Galim_Church_wind_station.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,8.9,041,10.8
1108-0730,7.3,045,12.2
1108-0800,7,046,12.2
1108-0830,6.2,038,12.1
1108-0900,9.2,017,11.6
1108-0930,9.8,011,11.7
1108-1000,9.8,004,11.5
1108-1030,10.4,357,11.8
1108-1100,10.9,349,12
1108-1130,11.9,351,12.4
1108-1200,12.1,349,13.1
1108-1230,12.6,350,13.6
1108-1300,12.9,351,12.9
1108-1330,13.6,351,13.6
1108-1400,13.9,357,13.9
1108-1430,14.4,002,14.4
1108-1500,14.5,003,14.5
1108-1530,14.3,006,14.3
1108-1600,14.1,004,14.1
1108-1630,13.9,005,13.9
1108-1700,13.6,007,13.6
1108-1730,13.5,011,13.8
1108-1800,13.4,011,13.7
1108-1830,13.2,014,13.3
1108-1900,13.1,016,13.1
1108-1930,13.2,015,14.2
1108-2000,12.8,015,14
1108-2030,11.8,022,13.7
1108-2100,11.9,021,13.6
1108-2130,11.5,020,13.4
1108-2200,11.2,021,13.1
1108-2230,11.3,020,13.3
1108-2300,11.3,016,13
1109--070,11.5,015,13
1109-0000,11.8,016,13.1
1109-0030,12,019,13.1
1109-0100,12.2,019,13.3
1109-0130,12.7,021,13.8
1109-0200,13.2,022,14.2
1109-0230,13.6,022,14.3
1109-0300,13.5,024,14.4
1109-0330,13.3,022,15.7
1109-0400,13.5,024,13.6
1109-0430,13,026,15.6
1109-0500,12.6,025,15.9
1109-0530,12.3,026,15.6
1109-0600,12.4,027,15.5
1109-0630,12.1,029,15.5
1109-0700,11.9,027,15.4
1109-0730,12.7,023,14.9
1109-0800,12.5,021,14.9
1109-0830,12.9,019,15.1
1109-0900,13.3,020,15.4
1109-0930,13.5,018,13.5
1109-1000,13.4,017,13.4
1109-1030,13.4,013,14.1
1109-1100,14.3,008,14.3
1109-1130,15.2,005,15.3
1109-1200,16,002,16.8
1109-1230,15.7,001,15.7
1109-1300,15.9,000,16.8
1109-1330,16.3,001,18.5
1109-1400,16.5,004,19.5
1109-1430,16.9,006,20.5
1109-1500,17,006,20.7
1109-1530,16.1,009,19.9
1109-1600,15.1,013,19
1109-1630,14.3,015,18.5
1109-1700,14.5,015,19.2
1109-1730,14.3,016,18.6
1109-1800,14.7,016,18.8
1109-1830,14.3,016,18.4
1109-1900,13.7,016,18.4
1109-1930,14,015,18.5
1109-2000,14.5,014,18
1109-2030,13.6,018,17
1109-2100,12.8,019,16.7
1109-2130,11.9,021,16.7
1109-2200,11.8,019,16.5
