openWRF 1km
18z_1km_Bat_Galim_Club.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,8.3,040,11
1108-0730,6.6,043,11.5
1108-0800,6.2,045,11.7
1108-0830,5.7,032,11.2
1108-0900,8.7,013,11.3
1108-0930,9.7,007,11.6
1108-1000,9.8,001,11.6
1108-1030,10.6,355,12.1
1108-1100,11.3,347,12.3
1108-1130,12.3,349,12.8
1108-1200,12.2,348,13.4
1108-1230,12.7,348,12.7
1108-1300,13.1,349,13.1
1108-1330,13.6,349,13.6
1108-1400,14,355,14.2
1108-1430,14.3,359,14.3
1108-1500,14.5,001,14.5
1108-1530,14.3,003,14.3
1108-1600,14.2,002,14.2
1108-1630,13.9,002,13.9
1108-1700,13.5,004,13.6
1108-1730,13.2,008,13.8
1108-1800,13.2,008,13.7
1108-1830,12.9,011,13.3
1108-1900,12.5,013,12.7
1108-1930,12.9,012,14.2
1108-2000,12.7,012,14.1
1108-2030,11.6,018,13.7
1108-2100,11.6,018,13.5
1108-2130,11.2,016,13.3
1108-2200,10.9,017,13
1108-2230,11.1,017,13.2
1108-2300,11.1,013,13.1
1109--070,11.3,012,13.2
1109-0000,11.6,013,13.3
1109-0030,11.8,016,13.3
1109-0100,12,016,13.4
1109-0130,12.5,018,13.8
1109-0200,12.9,020,14.2
1109-0230,13.2,019,14.4
1109-0300,13.3,020,14.6
1109-0330,13.3,019,15.6
1109-0400,13.4,020,13.8
1109-0430,12.9,023,15.4
1109-0500,12.5,021,15.8
1109-0530,12.2,022,15.5
1109-0600,12.1,024,12.1
1109-0630,11.7,026,15.1
1109-0700,11.7,023,15.1
1109-0730,12.3,018,14.8
1109-0800,12.2,016,14.8
1109-0830,12.7,015,15.2
1109-0900,13.1,017,15.5
1109-0930,13.3,014,14
1109-1000,13.3,013,13.4
1109-1030,13.7,010,14.4
1109-1100,14.9,006,14.9
1109-1130,15.7,003,15.9
1109-1200,16.4,359,17.3
1109-1230,16.1,359,16.1
1109-1300,16.5,358,17.6
1109-1330,17.3,359,19.5
1109-1400,17.4,002,20.4
1109-1430,17.7,004,21.3
1109-1500,17.6,005,21.4
1109-1530,17.1,007,20.9
1109-1600,15.8,010,19.7
1109-1630,14.6,011,18.9
1109-1700,14.6,011,19.4
1109-1730,14.5,012,18.9
1109-1800,14.8,012,18.9
1109-1830,14.4,012,18.5
1109-1900,14,012,18.5
1109-1930,14.4,011,18.7
1109-2000,15.1,010,18.5
1109-2030,14.2,014,17.6
1109-2100,13.3,015,17.1
1109-2130,12.4,016,17
1109-2200,12.1,014,16.7
