openWRF 1km
18z_1km_Bat_Yam_Taio.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,8.7,011,12.1
1108-0730,7.4,027,11.4
1108-0800,7.3,018,10.4
1108-0830,6.9,012,10.8
1108-0900,7.3,012,10.2
1108-0930,7.9,006,11.7
1108-1000,8.7,355,11.9
1108-1030,9.2,347,11.8
1108-1100,11,348,11.9
1108-1130,12.1,345,12.8
1108-1200,13.2,346,13.9
1108-1230,14.7,353,14.7
1108-1300,14.9,350,15.4
1108-1330,15.8,351,16.9
1108-1400,16.4,352,17.6
1108-1430,16.5,356,18
1108-1500,17.5,004,17.5
1108-1530,16.4,001,18.4
1108-1600,16.8,003,18
1108-1630,16.6,001,18.2
1108-1700,17.3,007,17.8
1108-1730,16.4,014,18.2
1108-1800,16,016,17.6
1108-1830,15.3,018,17.2
1108-1900,14.7,015,17.1
1108-1930,14.3,017,16.1
1108-2000,13.2,018,15.9
1108-2030,12.4,026,15
1108-2100,9.9,023,16.3
1108-2130,10.7,017,15.1
1108-2200,11.8,017,15.3
1108-2230,11.2,018,14.6
1108-2300,11.5,022,16
1109--070,12,020,16.8
1109-0000,12.1,019,16.4
1109-0030,11.6,019,16.5
1109-0100,12.4,018,16.6
1109-0130,12.3,026,16.4
1109-0200,12.1,029,16.2
1109-0230,11.6,028,16.8
1109-0300,12.5,022,16.8
1109-0330,13.2,019,17.6
1109-0400,13.1,021,18.3
1109-0430,12.6,023,18.1
1109-0500,12.7,020,16.8
1109-0530,12.9,018,18.2
1109-0600,12.9,018,17.5
1109-0630,13.2,015,17.8
1109-0700,13.4,016,18.6
1109-0730,13.4,013,18.7
1109-0800,13.7,016,18.3
1109-0830,16.2,008,16.9
1109-0900,16.3,009,16.5
1109-0930,16.1,008,16.1
1109-1000,15.9,004,15.9
1109-1030,15.4,001,15.5
1109-1100,15.4,359,15.4
1109-1130,15.8,357,15.8
1109-1200,15.9,354,15.9
1109-1230,16.6,353,16.6
1109-1300,17.1,350,17.1
1109-1330,18.1,349,18.5
1109-1400,18.2,349,19.5
1109-1430,18.3,351,21.5
1109-1500,18.7,354,22.1
1109-1530,18.9,360,19.7
1109-1600,18.2,002,22.1
1109-1630,17.6,008,19.2
1109-1700,16.4,009,20
1109-1730,16.2,015,18.1
1109-1800,15,005,18.1
1109-1830,14.9,011,18.5
1109-1900,15,012,18.8
1109-1930,13.4,007,20.1
1109-2000,13.7,007,17.4
1109-2030,13.9,008,18.7
1109-2100,13.9,008,18.2
1109-2130,14.2,009,17.6
1109-2200,13.9,013,18.3
