openWRF 1km
18z_1km_Beit_Yanai.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,6.3,036,8
1108-0730,7.6,035,11
1108-0800,7.4,019,11.7
1108-0830,8.6,004,12.9
1108-0900,11.3,359,13
1108-0930,11.6,353,11.6
1108-1000,12.2,348,13.3
1108-1030,13.3,344,14.4
1108-1100,13.9,342,15
1108-1130,14.2,341,14.2
1108-1200,14.8,342,14.8
1108-1230,16,343,16
1108-1300,16.5,344,16.5
1108-1330,16.9,347,17.8
1108-1400,17.1,349,18.5
1108-1430,18.3,351,19.3
1108-1500,18.3,351,18.9
1108-1530,18.7,356,18.8
1108-1600,17.5,356,18.3
1108-1630,17.9,358,18.5
1108-1700,17.6,359,18.1
1108-1730,17.1,358,17.9
1108-1800,16,002,17.9
1108-1830,16.1,003,17.7
1108-1900,16,007,17.3
1108-1930,15.8,008,16.9
1108-2000,15.5,009,16.1
1108-2030,14.6,007,15.7
1108-2100,12.8,016,15.6
1108-2130,9.6,032,12.1
1108-2200,10.3,024,13.9
1108-2230,12.6,016,15.7
1108-2300,11.8,021,15.2
1109--070,9.5,036,12.3
1109-0000,8.7,037,11.5
1109-0030,8,037,10.5
1109-0100,7.9,039,10.9
1109-0130,8.1,052,11.9
1109-0200,8.6,039,12.8
1109-0230,8.5,038,12.4
1109-0300,8.3,036,12.1
1109-0330,7.4,040,11.4
1109-0400,7.5,036,11.8
1109-0430,8,042,12.1
1109-0500,7.9,041,12
1109-0530,8.1,039,11.9
1109-0600,8.5,037,12.6
1109-0630,8.8,032,13.1
1109-0700,10,020,13.8
1109-0730,15.9,008,17
1109-0800,16.6,005,16.6
1109-0830,16.7,005,16.7
1109-0900,16.9,005,16.9
1109-0930,16.4,004,16.4
1109-1000,16.4,358,16.4
1109-1030,16.5,354,16.5
1109-1100,16.4,354,16.4
1109-1130,16.6,352,17.1
1109-1200,16.9,350,18.5
1109-1230,18.3,349,18.3
1109-1300,19.4,348,21.8
1109-1330,20.8,352,20.8
1109-1400,21.2,349,24.8
1109-1430,21.8,353,24.1
1109-1500,22.1,356,24.2
1109-1530,22.3,359,24.4
1109-1600,21.2,358,24.4
1109-1630,19.9,360,23.8
1109-1700,19.6,001,23.7
1109-1730,19.3,360,23.7
1109-1800,19,360,24
1109-1830,18.5,003,23.7
1109-1900,17.6,007,22.8
1109-1930,16.4,007,21.6
1109-2000,16.2,005,21.2
1109-2030,16.3,006,21.2
1109-2100,16.4,005,21.1
1109-2130,16.4,006,20.7
1109-2200,15,012,19.8
