openWRF 1km
18z_1km_Beit_Yanai_wind_station.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,5.2,040,5.2
1108-0730,6.8,034,11.2
1108-0800,7.6,015,12.5
1108-0830,9.2,360,11.8
1108-0900,11,356,12.2
1108-0930,11.4,350,11.4
1108-1000,11.9,346,11.9
1108-1030,12.9,342,12.9
1108-1100,13.7,340,13.7
1108-1130,14,340,14
1108-1200,14.4,340,14.4
1108-1230,15.7,341,15.7
1108-1300,16.1,342,16.1
1108-1330,16.6,344,16.6
1108-1400,17.1,348,17.1
1108-1430,17.9,348,17.8
1108-1500,17,352,18.5
1108-1530,17.3,352,19
1108-1600,16.2,354,18.2
1108-1630,14.9,356,17.6
1108-1700,14.3,356,18.9
1108-1730,13.4,357,18.7
1108-1800,13.3,000,18.2
1108-1830,12.3,002,17.1
1108-1900,11.9,008,12.4
1108-1930,11.5,008,17.3
1108-2000,9.7,011,14.4
1108-2030,7.4,015,13.6
1108-2100,6.9,028,14.1
1108-2130,5.3,038,15
1108-2200,5.4,028,14.7
1108-2230,6.9,019,12.7
1108-2300,6.6,027,12.4
1109--070,6.1,040,15.2
1109-0000,5.3,045,15
1109-0030,4.7,047,14.1
1109-0100,4.9,048,14.5
1109-0130,5,064,14.6
1109-0200,5.1,047,15.4
1109-0230,5.1,047,15.8
1109-0300,5.3,039,15.9
1109-0330,4.6,055,16
1109-0400,3.7,052,16
1109-0430,3.8,055,15.8
1109-0500,4.9,048,15.8
1109-0530,5.2,048,15.9
1109-0600,5.6,042,15.9
1109-0630,5.7,036,16.2
1109-0700,8,017,14.5
1109-0730,12.8,010,16
1109-0800,15.2,004,15.7
1109-0830,15.7,003,15.7
1109-0900,15.9,003,15.9
1109-0930,15.5,001,15.5
1109-1000,15.3,357,15.3
1109-1030,15.7,353,15.7
1109-1100,15.8,352,15.8
1109-1130,16.1,350,16.1
1109-1200,16.5,348,16.5
1109-1230,17.7,348,17.7
1109-1300,19,347,19
1109-1330,20.3,350,20.3
1109-1400,20.8,347,22
1109-1430,21.2,351,23.7
1109-1500,21.1,354,23.9
1109-1530,21,359,24.2
1109-1600,19.5,358,24
1109-1630,16.2,358,23.8
1109-1700,15.9,001,22.5
1109-1730,15.1,359,23.2
1109-1800,14.7,360,22.9
1109-1830,14.3,004,19
1109-1900,12.9,008,18.6
1109-1930,11.4,008,18.1
1109-2000,11.6,006,18.1
1109-2030,11.7,006,18
1109-2100,11.6,006,17.5
1109-2130,10.9,009,17.5
1109-2200,5.5,035,16.7
