openWRF 1km
18z_1km_Betzet.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,8.2,026,11.5
1108-0730,10,015,11.3
1108-0800,12,006,12.6
1108-0830,13.7,010,14.2
1108-0900,13.6,007,14.4
1108-0930,13.5,000,14.7
1108-1000,14,358,15.2
1108-1030,14.8,358,14.8
1108-1100,15.1,354,15.1
1108-1130,15.4,354,15.4
1108-1200,15.6,355,16.3
1108-1230,16.4,356,17.3
1108-1300,17.3,357,18.5
1108-1330,17.6,359,17.6
1108-1400,17.9,001,17.9
1108-1430,17.9,003,19.2
1108-1500,18.3,003,19.5
1108-1530,18.4,004,19.6
1108-1600,18.2,005,19.6
1108-1630,18,005,19.6
1108-1700,17.7,007,19.1
1108-1730,16.6,010,18.5
1108-1800,14.4,020,18.6
1108-1830,13.7,021,17.7
1108-1900,13.1,026,17.3
1108-1930,13.4,026,17.7
1108-2000,13.4,027,17.8
1108-2030,13.4,028,17.7
1108-2100,12.6,034,17.2
1108-2130,13.4,031,17.5
1108-2200,12.9,031,17.5
1108-2230,12.8,031,17.3
1108-2300,14.2,027,17.7
1109--070,13.2,030,17.1
1109-0000,14.3,027,17.4
1109-0030,15.5,025,18.3
1109-0100,16,025,18.9
1109-0130,15.7,027,19.1
1109-0200,14,032,18.8
1109-0230,14.4,031,19
1109-0300,14.6,032,19.1
1109-0330,15.5,031,19
1109-0400,16.3,030,19.4
1109-0430,16.4,032,19.4
1109-0500,16.7,030,19.7
1109-0530,17.3,029,19.9
1109-0600,17.6,028,20.1
1109-0630,17.5,027,20.1
1109-0700,16.3,022,18.1
1109-0730,16.5,020,18.3
1109-0800,16.8,017,18.7
1109-0830,17.3,016,18.8
1109-0900,17.3,014,18.2
1109-0930,16.8,009,17.2
1109-1000,16.4,006,16.4
1109-1030,16.3,006,16.3
1109-1100,16.4,004,16.4
1109-1130,16.8,002,16.8
1109-1200,17.6,003,17.6
1109-1230,18.5,003,18.5
1109-1300,19.4,004,19.6
1109-1330,20.4,005,21.2
1109-1400,21.2,007,22.4
1109-1430,21.8,008,23.8
1109-1500,22.5,008,25.4
1109-1530,22.4,009,25.8
1109-1600,21.4,011,25.5
1109-1630,20.9,014,25.2
1109-1700,20,017,25.1
1109-1730,19.7,019,24.1
1109-1800,19.1,022,23.4
1109-1830,18.6,022,22.8
1109-1900,19.1,019,23
1109-1930,19.7,018,23.6
1109-2000,18.3,020,22.1
1109-2030,18.2,022,21.8
1109-2100,18.1,026,22.3
1109-2130,18.1,023,22.2
1109-2200,15.9,029,19.9
