openWRF 1km
18z_1km_Betzet_wind_station.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,9.3,024,12.3
1108-0730,10.8,017,12
1108-0800,12.2,012,13.2
1108-0830,13.4,016,14.4
1108-0900,13.1,013,14.4
1108-0930,13,005,14.4
1108-1000,13.5,002,15
1108-1030,14.3,002,14.3
1108-1100,14.9,357,14.9
1108-1130,15.2,357,15.3
1108-1200,15.5,358,16.4
1108-1230,16.3,359,17.3
1108-1300,17.1,000,18.3
1108-1330,17.4,002,17.5
1108-1400,17.7,004,17.7
1108-1430,17.8,006,17.8
1108-1500,18,007,19.4
1108-1530,18.1,007,19.5
1108-1600,18,008,19.5
1108-1630,17.9,008,19.7
1108-1700,17.8,011,19.4
1108-1730,17.2,013,19.1
1108-1800,15.2,023,19.2
1108-1830,14.9,022,18.6
1108-1900,14.8,024,18.3
1108-1930,15,025,18.5
1108-2000,15,025,18.4
1108-2030,15,026,18.4
1108-2100,15.1,030,18.1
1108-2130,15.6,030,18.2
1108-2200,15.8,030,18.3
1108-2230,15.9,029,18.3
1108-2300,15.9,028,18.3
1109--070,16,029,18.2
1109-0000,15.8,029,18.2
1109-0030,16,029,18.7
1109-0100,16.6,030,19.3
1109-0130,16.8,030,19.6
1109-0200,16.8,030,19.6
1109-0230,16.9,031,19.6
1109-0300,17.3,031,19.9
1109-0330,17.7,032,20.2
1109-0400,17.6,033,19.8
1109-0430,17.5,033,19.2
1109-0500,17.4,032,18.8
1109-0530,17.2,033,18.9
1109-0600,17.3,034,19
1109-0630,17.3,034,19
1109-0700,16.4,029,18.6
1109-0730,16.2,025,18.6
1109-0800,16.7,022,16.9
1109-0830,17.1,020,19.2
1109-0900,17,018,18.7
1109-0930,16.7,014,17.5
1109-1000,16.1,011,16.1
1109-1030,16.2,010,16.2
1109-1100,16.1,008,16.1
1109-1130,16.7,007,16.7
1109-1200,17.5,007,17.5
1109-1230,18.2,007,18.3
1109-1300,19.2,008,19.6
1109-1330,20,009,21.1
1109-1400,20.8,010,22.2
1109-1430,21.4,012,23.5
1109-1500,21.9,011,24.4
1109-1530,21.8,013,24.9
1109-1600,21.1,016,24.8
1109-1630,20.9,018,24.7
1109-1700,20.4,022,24.9
1109-1730,20,026,24
1109-1800,19.7,026,23.7
1109-1830,19.5,025,23.3
1109-1900,19.8,024,24.1
1109-1930,20.4,024,24.6
1109-2000,19.5,024,23
1109-2030,19.5,024,22.8
1109-2100,20.1,026,23.8
1109-2130,19.7,024,23.2
1109-2200,18.6,026,22.1
