openWRF 1km
18z_1km_Bikat_Beit_Netofa.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,0.4,072,1.6
1108-0730,0.8,087,1.9
1108-0800,1.1,094,2.4
1108-0830,0.8,141,2.5
1108-0900,0.6,150,2.9
1108-0930,0.2,228,4.7
1108-1000,0.2,180,3.7
1108-1030,0.9,148,3.5
1108-1100,2.7,202,2.7
1108-1130,1.2,176,2.2
1108-1200,10.1,307,10.1
1108-1230,12.8,306,12.8
1108-1300,15,307,15
1108-1330,16.3,307,16.3
1108-1400,15.4,311,15.4
1108-1430,14.2,318,14.2
1108-1500,13.5,325,13.5
1108-1530,12.8,323,12.8
1108-1600,11.2,321,11.2
1108-1630,10.1,325,10.1
1108-1700,9.4,325,9.7
1108-1730,5.8,321,6.6
1108-1800,3.7,327,3.7
1108-1830,2.4,224,2.4
1108-1900,7.1,206,7.1
1108-1930,6.7,207,6.7
1108-2000,6.5,203,6.5
1108-2030,5,202,5
1108-2100,4.6,209,4.6
1108-2130,4.5,214,4.5
1108-2200,4,215,4
1108-2230,3.6,219,3.6
1108-2300,2.9,218,3
1109--070,2.6,205,2.6
1109-0000,3,208,3
1109-0030,3.3,207,3.3
1109-0100,3.2,214,3.2
1109-0130,3.3,219,3.3
1109-0200,3.1,230,3.1
1109-0230,2.8,239,2.8
1109-0300,2.5,240,2.5
1109-0330,2.1,258,2.1
1109-0400,1.7,269,1.7
1109-0430,1.4,236,1.4
1109-0500,1.5,245,1.5
1109-0530,1.9,249,1.9
1109-0600,1.7,249,1.7
1109-0630,1.6,240,1.7
1109-0700,1.8,245,1.8
1109-0730,1,236,1
1109-0800,0.6,070,3.5
1109-0830,2.4,075,6.9
1109-0900,5.2,072,9.1
1109-0930,7.6,073,11
1109-1000,8.7,073,12.6
1109-1030,9,075,10.3
1109-1100,8.6,075,9.6
1109-1130,7.2,075,7.2
1109-1200,5.5,075,6.2
1109-1230,4.1,077,4.3
1109-1300,3,082,3.5
1109-1330,1.9,086,3.4
1109-1400,12.3,305,12.3
1109-1430,15.3,307,15.3
1109-1500,11.1,320,11.1
1109-1530,12.4,346,12.4
1109-1600,9.8,341,12.4
1109-1630,6.4,317,9.5
1109-1700,5.8,323,9.7
1109-1730,4.2,328,9.2
1109-1800,2.5,293,7.4
1109-1830,2.4,317,2.4
1109-1900,3.7,237,3.7
1109-1930,5.7,222,5.7
1109-2000,8.2,216,8.2
1109-2030,7.7,211,7.7
1109-2100,5.9,207,5.9
1109-2130,5.5,203,5.5
1109-2200,5.4,209,5.4
