openWRF 1km
18z_1km_Herzliya.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,7.1,037,8
1108-0730,6.9,027,10
1108-0800,6.7,021,9.9
1108-0830,8.5,010,12.3
1108-0900,9.4,002,12.1
1108-0930,9.3,358,11.9
1108-1000,10.1,348,12.1
1108-1030,11.3,345,11.8
1108-1100,12.4,343,12.4
1108-1130,12.8,345,12.8
1108-1200,13.5,344,13.6
1108-1230,14.7,349,14.7
1108-1300,14.6,348,15.3
1108-1330,15.9,350,17
1108-1400,16.7,355,17.3
1108-1430,16.6,352,17.8
1108-1500,16.1,359,17.8
1108-1530,17.4,358,17.6
1108-1600,16.5,000,17.9
1108-1630,16.9,003,18.2
1108-1700,16.8,007,18
1108-1730,16.4,010,17.6
1108-1800,15.8,012,16.9
1108-1830,14.9,011,17.3
1108-1900,15.5,010,16.7
1108-1930,14.4,014,16.8
1108-2000,12.9,025,15.2
1108-2030,9.8,032,12.1
1108-2100,9.6,039,11.4
1108-2130,9.4,034,11.5
1108-2200,10.3,022,14.4
1108-2230,11.5,020,14.9
1108-2300,11.2,030,12.7
1109--070,10.8,030,12.6
1109-0000,11.3,027,13
1109-0030,11.7,028,13.9
1109-0100,11.4,030,13.5
1109-0130,10.5,037,13.7
1109-0200,10.8,034,13.8
1109-0230,11.1,032,13.8
1109-0300,11.1,029,14.3
1109-0330,11.7,025,14.1
1109-0400,11.5,030,14.2
1109-0430,11.7,028,14.4
1109-0500,11.8,027,14.2
1109-0530,12,026,14.1
1109-0600,12.1,026,14.6
1109-0630,12.5,021,18.8
1109-0700,12,018,19
1109-0730,11.9,017,17.8
1109-0800,15.2,008,15.4
1109-0830,17.2,006,17.2
1109-0900,16.8,007,17.8
1109-0930,16.4,005,16.4
1109-1000,16.1,002,16.1
1109-1030,16.3,358,16.3
1109-1100,16.5,357,16.4
1109-1130,16.6,354,16.6
1109-1200,16.8,352,16.8
1109-1230,16.9,351,16.9
1109-1300,17.9,351,17.9
1109-1330,18.7,351,18.7
1109-1400,19.2,350,20.9
1109-1430,19.8,352,22.4
1109-1500,20,356,23.1
1109-1530,20.2,357,23.6
1109-1600,19.5,360,23.3
1109-1630,19.9,006,22.2
1109-1700,18.9,009,21.2
1109-1730,16,002,21.8
1109-1800,16,005,21.3
1109-1830,15.6,006,21.8
1109-1900,15.5,007,21.3
1109-1930,15.4,009,20.5
1109-2000,14.6,008,19.6
1109-2030,14.4,009,19
1109-2100,14.4,009,19.3
1109-2130,14.1,006,18.8
1109-2200,13.8,005,18.5
