openWRF 1km
18z_1km_Herzliya_wind_station.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,5.5,036,9
1108-0730,6.1,028,10.4
1108-0800,6.2,019,12
1108-0830,8.7,004,12.5
1108-0900,9.6,359,12
1108-0930,9.4,353,11.2
1108-1000,10.2,347,10.7
1108-1030,10.8,342,10.8
1108-1100,12,342,12
1108-1130,12.4,345,12.4
1108-1200,13.2,346,13.2
1108-1230,14.1,348,14.1
1108-1300,14.2,348,14.2
1108-1330,15.7,350,15.7
1108-1400,15.9,352,15.9
1108-1430,15.9,354,15.9
1108-1500,15.9,358,15.9
1108-1530,15.5,358,17.1
1108-1600,15.2,003,17.5
1108-1630,15.1,003,17.2
1108-1700,14.8,008,17
1108-1730,13.6,009,17.7
1108-1800,12.6,011,17.1
1108-1830,11.9,016,12.7
1108-1900,11.3,010,12.5
1108-1930,9.6,022,14.9
1108-2000,6.6,030,13.7
1108-2030,6.3,035,14
1108-2100,6.8,034,14
1108-2130,5.9,030,14.8
1108-2200,6.9,021,13.3
1108-2230,8.1,022,13.7
1108-2300,7.8,030,13.5
1109--070,7.1,030,15.4
1109-0000,7.8,026,12.6
1109-0030,8.2,027,16.1
1109-0100,7.7,030,16
1109-0130,7,035,15.8
1109-0200,7.3,032,16.2
1109-0230,7.1,032,16.5
1109-0300,6.8,028,16.3
1109-0330,7.2,026,16.4
1109-0400,7,030,16.6
1109-0430,7.3,029,16.8
1109-0500,7.5,027,16.7
1109-0530,7.2,027,16.1
1109-0600,7.4,026,16.3
1109-0630,9,022,16.4
1109-0700,9.4,021,9.4
1109-0730,9.8,018,18.5
1109-0800,12.3,009,14.2
1109-0830,16,005,16
1109-0900,15.7,005,15.7
1109-0930,15.5,003,15.5
1109-1000,15.3,360,15.3
1109-1030,15.6,357,15.6
1109-1100,15.8,355,15.8
1109-1130,16,353,16
1109-1200,16.1,352,16.1
1109-1230,16.4,349,16.4
1109-1300,17.2,349,17.2
1109-1330,18,350,18.2
1109-1400,18.3,349,18.3
1109-1430,18.8,349,18.8
1109-1500,18.9,354,18.9
1109-1530,18.9,357,23.2
1109-1600,18.5,003,22.6
1109-1630,17.5,003,22.6
1109-1700,15.7,004,21.6
1109-1730,13.5,005,21
1109-1800,13,008,20.4
1109-1830,11.7,004,18.5
1109-1900,11.7,007,18.4
1109-1930,11,009,18
1109-2000,9.8,011,17.7
1109-2030,9.2,012,17.7
1109-2100,8.4,013,17.2
1109-2130,8.7,010,16.7
1109-2200,8.8,010,17
