openWRF 1km
18z_1km_Kineret_Diamond_wind_station.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,2.6,121,2.6
1108-0730,2.2,266,2.2
1108-0800,3.1,280,3.1
1108-0830,2.4,295,2.8
1108-0900,2.9,296,2.9
1108-0930,3,289,3
1108-1000,3.1,278,3.1
1108-1030,2.6,265,2.6
1108-1100,2.2,250,3.8
1108-1130,2.7,240,2.7
1108-1200,2.8,247,4
1108-1230,2.7,242,3.4
1108-1300,3.3,225,3.3
1108-1330,4.1,214,4.1
1108-1400,3.9,207,3.9
1108-1430,3.1,208,3.1
1108-1500,2.1,300,2.1
1108-1530,2.7,339,2.7
1108-1600,9.3,000,9.3
1108-1630,5.9,017,9.6
1108-1700,8.1,038,13.8
1108-1730,9.5,037,13.2
1108-1800,8.9,036,12.6
1108-1830,6,036,10.6
1108-1900,5.7,037,16.9
1108-1930,7.3,033,15.9
1108-2000,6.5,035,13.8
1108-2030,6.4,034,9.3
1108-2100,5.9,036,7.2
1108-2130,5.7,035,5.7
1108-2200,5.2,036,5.7
1108-2230,3.6,039,7.6
1108-2300,1.9,098,6.1
1109--070,1.8,094,5.1
1109-0000,1.1,081,5
1109-0030,1,043,1
1109-0100,1.5,073,1.5
1109-0130,1.6,022,7.3
1109-0200,2.7,002,2.7
1109-0230,0.5,115,0.5
1109-0300,5.9,118,6.4
1109-0330,7.4,102,7.3
1109-0400,4.5,056,5.7
1109-0430,2.5,334,3.4
1109-0500,3.1,335,3.8
1109-0530,1.7,310,1.7
1109-0600,0.2,270,0.2
1109-0630,1.1,138,1.1
1109-0700,0.9,119,0.9
1109-0730,1,245,1
1109-0800,2.9,286,2.9
1109-0830,3.3,292,3.3
1109-0900,3.1,305,3.1
1109-0930,2.9,302,3.4
1109-1000,2.2,300,3.4
1109-1030,1.8,293,2.6
1109-1100,2.5,261,4.3
1109-1130,2.7,251,4.1
1109-1200,2.5,255,2.8
1109-1230,2.2,279,2.2
1109-1300,2.1,293,2.1
1109-1330,1.6,301,3
1109-1400,1.5,293,2.4
1109-1430,1.5,297,1.5
1109-1500,1,310,2.2
1109-1530,1.7,038,1.7
1109-1600,9.2,011,10.7
1109-1630,7.2,034,8.8
1109-1700,10.9,035,16.1
1109-1730,11,035,16.6
1109-1800,10.8,033,17.3
1109-1830,8.7,031,15.8
1109-1900,7.3,029,14.9
1109-1930,7.4,024,14.1
1109-2000,7.7,024,12.7
1109-2030,8,029,10.8
1109-2100,6.7,044,10
1109-2130,6.1,049,8.3
1109-2200,2.9,326,4.8
