openWRF 1km
18z_1km_Kineret_Gino.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,3.2,009,3.2
1108-0730,2.2,328,3.8
1108-0800,1.6,247,2.1
1108-0830,0.8,229,1.3
1108-0900,0.8,189,0.8
1108-0930,1.8,255,1.8
1108-1000,3.4,248,3.4
1108-1030,3.9,216,3.9
1108-1100,4.8,195,4.8
1108-1130,4.2,197,4.2
1108-1200,4.2,218,4.2
1108-1230,4.5,215,4.5
1108-1300,4.4,208,4.4
1108-1330,5.1,195,5.1
1108-1400,4.8,190,4.8
1108-1430,2.6,143,2.6
1108-1500,0.4,308,0.4
1108-1530,0.9,246,0.9
1108-1600,2.1,341,2.1
1108-1630,5.6,349,11.3
1108-1700,5.9,356,10.7
1108-1730,7.5,084,7.5
1108-1800,6.1,080,6
1108-1830,5.7,069,5.7
1108-1900,5.7,063,5.7
1108-1930,5.3,055,5.2
1108-2000,2.1,019,2.1
1108-2030,2.7,018,2.7
1108-2100,2.2,329,5.2
1108-2130,2.8,055,2.8
1108-2200,1.4,059,3.6
1108-2230,1,092,1
1108-2300,1,186,2.2
1109--070,0.2,263,1.8
1109-0000,0.6,322,1.6
1109-0030,1.5,070,2.5
1109-0100,2.7,101,2.7
1109-0130,1.7,088,1.7
1109-0200,0.3,107,1.6
1109-0230,2.7,044,2.7
1109-0300,3.8,041,3.8
1109-0330,3.6,121,3.6
1109-0400,0.8,097,1.4
1109-0430,4.1,294,4.1
1109-0500,4.1,287,4
1109-0530,2.9,276,2.9
1109-0600,2.9,254,2.9
1109-0630,2.1,254,4.4
1109-0700,1.6,260,2.7
1109-0730,1.8,265,1.8
1109-0800,2.2,261,3
1109-0830,2.6,211,2.6
1109-0900,2.5,228,2.5
1109-0930,3.1,228,3.1
1109-1000,2.5,220,2.5
1109-1030,2.3,203,2.3
1109-1100,3.1,209,3.1
1109-1130,3.9,219,3.9
1109-1200,4.5,221,4.5
1109-1230,4.5,238,4.5
1109-1300,4.9,246,4.9
1109-1330,4.9,241,4.9
1109-1400,4.6,239,4.6
1109-1430,3.9,238,3.9
1109-1500,2.9,215,2.9
1109-1530,4.2,055,4.2
1109-1600,9.1,007,12.8
1109-1630,7,007,12.1
1109-1700,6.4,003,16.6
1109-1730,6,054,16.3
1109-1800,7.6,081,7.6
1109-1830,5.5,070,5.5
1109-1900,5.3,072,5.3
1109-1930,4.1,059,4.1
1109-2000,3,035,3
1109-2030,2.5,021,2.5
1109-2100,4.4,239,4.5
1109-2130,4.4,263,4.4
1109-2200,3.2,263,3.2
