openWRF 1km
18z_1km_Kineret_Horsha.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,4.2,031,4.2
1108-0730,1.9,014,1.9
1108-0800,1.6,147,1.7
1108-0830,1.7,184,1.7
1108-0900,2.1,198,2.1
1108-0930,2.3,223,2.3
1108-1000,3.6,224,3.6
1108-1030,4.5,199,4.5
1108-1100,4.8,184,4.8
1108-1130,4.3,180,4.3
1108-1200,3.4,185,3.4
1108-1230,4.4,202,4.3
1108-1300,4.4,196,4.4
1108-1330,4.6,183,4.6
1108-1400,3,169,3
1108-1430,1.3,131,1.3
1108-1500,1,244,1
1108-1530,3.7,352,10
1108-1600,10,350,10
1108-1630,8.3,353,8.3
1108-1700,9,353,14
1108-1730,5,017,12
1108-1800,3.9,014,12.8
1108-1830,5,098,5
1108-1900,4.4,086,4.4
1108-1930,2.9,043,2.9
1108-2000,1,034,1
1108-2030,2,067,2
1108-2100,2.4,076,2.4
1108-2130,3.2,077,3.2
1108-2200,2.8,068,2.8
1108-2230,2.2,085,2.2
1108-2300,2.1,113,2.1
1109--070,2,112,2
1109-0000,1.6,123,1.7
1109-0030,1.8,093,1.7
1109-0100,1.4,061,1.4
1109-0130,1.9,024,1.9
1109-0200,4.2,024,4.2
1109-0230,3.7,057,3.7
1109-0300,4.5,064,4.5
1109-0330,3.1,109,3.1
1109-0400,2.3,307,2.3
1109-0430,3.1,267,3.1
1109-0500,3.4,266,3.4
1109-0530,1.6,240,1.7
1109-0600,1.3,124,1.9
1109-0630,2.5,096,2.5
1109-0700,2.3,140,2.3
1109-0730,1.4,167,1.4
1109-0800,1.3,208,2.4
1109-0830,2.7,188,2.7
1109-0900,2.8,229,2.8
1109-0930,3.4,209,3.4
1109-1000,3.6,198,3.6
1109-1030,2.3,189,2.3
1109-1100,3.5,206,3.5
1109-1130,3.3,205,3.3
1109-1200,4.2,209,4.2
1109-1230,4.9,223,4.9
1109-1300,5.3,229,5.3
1109-1330,5.3,227,5.3
1109-1400,5.1,227,5.1
1109-1430,4.2,221,4.2
1109-1500,2.5,187,2.5
1109-1530,3.2,067,3.2
1109-1600,9.8,356,13.5
1109-1630,9.3,355,12.6
1109-1700,10,353,17.8
1109-1730,10,347,16
1109-1800,7.9,348,14.2
1109-1830,5.3,102,5.3
1109-1900,5.9,091,5.9
1109-1930,4.1,095,4.1
1109-2000,2,088,2
1109-2030,1,002,1
1109-2100,3.1,264,3.1
1109-2130,1,287,1
1109-2200,0.9,131,0.9
