openWRF 1km
18z_1km_Kineret_Mazof_Ein_Sheva_wind_station.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,2.7,025,2.7
1108-0730,0.4,283,2.5
1108-0800,2.3,224,2.3
1108-0830,2.8,159,2.8
1108-0900,2.1,127,2.1
1108-0930,1.6,184,1.6
1108-1000,2,240,2
1108-1030,2.7,211,2.7
1108-1100,2.9,204,2.9
1108-1130,3.3,204,3.3
1108-1200,3.7,200,3.7
1108-1230,3.7,199,3.7
1108-1300,3.8,194,3.8
1108-1330,4.2,189,4.2
1108-1400,4.1,187,4
1108-1430,3.4,178,3.4
1108-1500,1.4,078,1.4
1108-1530,1.6,263,1.6
1108-1600,9.8,331,10.8
1108-1630,8.7,334,13
1108-1700,9.5,341,12
1108-1730,4.8,327,11.8
1108-1800,4.5,126,4.5
1108-1830,4.5,216,4.5
1108-1900,4.2,235,4.3
1108-1930,4.8,224,4.8
1108-2000,6.3,232,6.3
1108-2030,6.6,257,6.8
1108-2100,5.3,273,5.3
1108-2130,5,289,5
1108-2200,4.5,290,4.5
1108-2230,6,297,6
1108-2300,6.1,291,6.1
1109--070,6.6,294,6.6
1109-0000,7.1,301,7.1
1109-0030,6.5,309,6.5
1109-0100,5.1,319,5.1
1109-0130,3.2,320,3.2
1109-0200,3.3,299,3.3
1109-0230,2.9,283,3.6
1109-0300,0.6,328,1.6
1109-0330,1,099,1
1109-0400,0.8,300,1.7
1109-0430,3.1,305,3.1
1109-0500,3.2,317,3.3
1109-0530,4,293,4
1109-0600,4,305,4
1109-0630,3.2,302,3.2
1109-0700,2.2,309,2.3
1109-0730,2.3,265,2.3
1109-0800,2.9,228,3.1
1109-0830,3.6,176,3.6
1109-0900,2.7,166,2.7
1109-0930,1.7,232,1.7
1109-1000,2.8,204,2.8
1109-1030,1.9,225,1.9
1109-1100,2.8,205,2.8
1109-1130,3.2,205,3.1
1109-1200,3.6,206,3.6
1109-1230,3.6,215,3.6
1109-1300,3.6,219,3.6
1109-1330,3.9,214,3.8
1109-1400,3.8,212,3.8
1109-1430,3.3,210,3.3
1109-1500,3,210,3.1
1109-1530,9.8,336,10.1
1109-1600,3.7,355,3.7
1109-1630,10.3,341,16.1
1109-1700,10.1,346,15.1
1109-1730,4.6,335,14.8
1109-1800,4.5,199,4.5
1109-1830,2.9,141,5.5
1109-1900,2.6,153,2.6
1109-1930,1.6,178,1.6
1109-2000,3.8,209,5.8
1109-2030,1.6,158,1.6
1109-2100,1.9,251,1.9
1109-2130,2.4,245,2.4
1109-2200,2.7,289,2.7
