openWRF 1km
18z_1km_Kineret_Mezach_Kfar_Nachum_wind_station.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,3.3,035,3.3
1108-0730,1.1,013,1.3
1108-0800,2.1,160,2.1
1108-0830,1.7,144,2.8
1108-0900,2.4,149,2.8
1108-0930,2.3,191,2.3
1108-1000,3.3,217,3.3
1108-1030,4.1,205,4.2
1108-1100,4.6,198,4.6
1108-1130,4.7,192,4.7
1108-1200,4.8,204,4.8
1108-1230,5.3,207,5.3
1108-1300,5.4,202,5.4
1108-1330,5.6,197,5.6
1108-1400,4.2,195,4.2
1108-1430,2.4,121,2.4
1108-1500,0.7,148,0.7
1108-1530,4.8,356,4.8
1108-1600,8.9,353,13.7
1108-1630,6.8,349,6.8
1108-1700,7.3,345,7.3
1108-1730,6.8,340,6.8
1108-1800,5.4,159,5.4
1108-1830,3.4,124,3.4
1108-1900,3,093,3
1108-1930,1.2,346,1.2
1108-2000,3.7,232,3.7
1108-2030,2.3,247,2.3
1108-2100,1.3,359,1.3
1108-2130,0.8,329,0.8
1108-2200,1.1,008,1.1
1108-2230,2,073,2
1108-2300,2.1,086,2.1
1109--070,1.2,085,1.5
1109-0000,2.3,001,2.3
1109-0030,3,005,3
1109-0100,2.9,360,2.9
1109-0130,3.9,359,3.9
1109-0200,5,351,5
1109-0230,3.7,335,3.7
1109-0300,2.7,071,2.7
1109-0330,2.5,083,2.5
1109-0400,1.8,288,1.7
1109-0430,3.2,292,3.2
1109-0500,3.6,282,3.6
1109-0530,1.9,265,1.9
1109-0600,1.2,182,1.2
1109-0630,2.1,131,2.1
1109-0700,1.1,081,1.1
1109-0730,0.9,171,1.7
1109-0800,1.3,176,1.3
1109-0830,3.2,180,3.2
1109-0900,2.5,206,2.5
1109-0930,3.3,228,3.3
1109-1000,3.8,203,3.8
1109-1030,2.7,179,2.7
1109-1100,3.3,199,3.3
1109-1130,4.3,206,4.3
1109-1200,4.9,210,4.9
1109-1230,5.1,217,5.2
1109-1300,5,222,5
1109-1330,5,218,5
1109-1400,4.9,217,4.9
1109-1430,4.4,214,4.4
1109-1500,3.5,216,3.5
1109-1530,5.6,063,5.6
1109-1600,6.1,352,7.7
1109-1630,7.9,346,9
1109-1700,8.7,344,8.7
1109-1730,9,344,9
1109-1800,4.5,318,7.5
1109-1830,4.1,147,4.1
1109-1900,4.6,104,4.6
1109-1930,0.2,128,0.2
1109-2000,2.5,277,2.5
1109-2030,1.8,296,1.7
1109-2100,2.4,220,2.4
1109-2130,1,005,1
1109-2200,0.8,171,0.8
