openWRF 1km
18z_1km_Kineret_Migdal.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,1.8,284,1.8
1108-0730,3.2,245,3.2
1108-0800,1.4,226,2.9
1108-0830,0.8,112,0.8
1108-0900,1,107,1
1108-0930,0.2,261,0.2
1108-1000,1,273,1
1108-1030,1.6,224,1.6
1108-1100,2.4,236,2.4
1108-1130,2,242,2
1108-1200,1.2,263,1.2
1108-1230,1.1,273,1.1
1108-1300,1.1,193,1.1
1108-1330,1.4,149,1.4
1108-1400,3.6,150,3.6
1108-1430,3.7,156,3.7
1108-1500,2.2,146,2.2
1108-1530,0.9,262,1
1108-1600,9.4,338,9.3
1108-1630,8.2,330,10.7
1108-1700,5.8,283,12.6
1108-1730,4.4,313,4.4
1108-1800,4.4,289,4.4
1108-1830,6.7,265,6.6
1108-1900,5.5,253,5.5
1108-1930,1.9,103,1.9
1108-2000,2.5,055,2.5
1108-2030,1,080,1
1108-2100,1,070,1
1108-2130,1.4,257,1.4
1108-2200,2.8,255,2.8
1108-2230,4,265,4
1108-2300,2.5,265,2.4
1109--070,1.3,288,1.3
1109-0000,2.5,306,3.3
1109-0030,4.1,301,4.2
1109-0100,3.8,298,3.8
1109-0130,3.1,313,3.2
1109-0200,3.2,317,3.2
1109-0230,2.5,323,2.5
1109-0300,2.6,325,2.6
1109-0330,3.6,322,3.6
1109-0400,5.1,317,5.1
1109-0430,5.7,300,5.7
1109-0500,4.8,297,4.8
1109-0530,3.8,296,3.8
1109-0600,1.2,285,1.7
1109-0630,0.4,284,0.8
1109-0700,0.4,319,0.4
1109-0730,0.5,203,0.9
1109-0800,1.2,218,1.2
1109-0830,2,142,2
1109-0900,2,156,2
1109-0930,0.3,295,0.3
1109-1000,1.3,287,1.3
1109-1030,1.9,228,1.9
1109-1100,2.3,231,2.3
1109-1130,1.5,240,1.5
1109-1200,1.5,226,1.5
1109-1230,1.9,241,1.9
1109-1300,2.3,260,2.3
1109-1330,2.2,268,2.2
1109-1400,2.2,265,2.2
1109-1430,1.8,267,1.7
1109-1500,0.8,294,0.8
1109-1530,1.2,338,1.2
1109-1600,4.4,055,4.4
1109-1630,5.4,321,13
1109-1700,4.1,297,4.1
1109-1730,2.3,270,2.3
1109-1800,5.1,271,5.1
1109-1830,0.2,144,0.2
1109-1900,3.5,095,3.5
1109-1930,3.4,105,3.4
1109-2000,3.6,255,3.6
1109-2030,2,154,2
1109-2100,1.3,244,1.3
1109-2130,2.6,255,2.6
1109-2200,3,270,3
