openWRF 1km
18z_1km_Kineret_Migdal_wind_station.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,3.2,191,3.2
1108-0730,1.6,153,2.4
1108-0800,1.5,022,2.3
1108-0830,3.1,108,3.1
1108-0900,2.8,109,2.8
1108-0930,1.6,082,4
1108-1000,1.4,071,5
1108-1030,1.1,088,4.2
1108-1100,1.3,091,3.2
1108-1130,1.7,090,3
1108-1200,2.2,091,3.8
1108-1230,2.1,092,4
1108-1300,2.4,106,3.6
1108-1330,2.7,111,4
1108-1400,3.4,126,3.4
1108-1430,2.6,143,2.6
1108-1500,1.9,090,1.9
1108-1530,11.4,355,11.4
1108-1600,11.3,342,11.3
1108-1630,6.1,321,6.1
1108-1700,6.5,295,9.2
1108-1730,5.5,275,8.2
1108-1800,5.2,270,9.3
1108-1830,5.6,259,9
1108-1900,5.9,254,6.7
1108-1930,5.4,240,5.4
1108-2000,3.7,192,3.7
1108-2030,2.9,200,2.9
1108-2100,2.4,203,2.4
1108-2130,2.1,206,2.1
1108-2200,4.4,251,4.4
1108-2230,5.5,253,5.5
1108-2300,5.1,248,5.1
1109--070,4,241,4
1109-0000,3.9,243,3.9
1109-0030,3.9,249,3.9
1109-0100,3.2,245,3.2
1109-0130,3.3,251,3.3
1109-0200,2.6,233,2.6
1109-0230,2.1,228,2.1
1109-0300,1.8,155,1.8
1109-0330,1.3,160,1.3
1109-0400,1.8,261,1.8
1109-0430,3.5,261,3.5
1109-0500,3.8,249,3.8
1109-0530,4,245,4
1109-0600,2.6,224,2.6
1109-0630,1.4,175,1.4
1109-0700,0.7,154,1.6
1109-0730,1,123,1
1109-0800,1.4,114,1.5
1109-0830,3,117,3
1109-0900,3.5,130,3.5
1109-0930,1.3,069,5.9
1109-1000,0.8,043,9.7
1109-1030,1.7,112,8.1
1109-1100,2.5,127,6.7
1109-1130,2.6,125,5.5
1109-1200,2.9,136,5.6
1109-1230,2.8,140,5.4
1109-1300,2.1,130,5
1109-1330,2.1,126,4.7
1109-1400,1.8,132,4.5
1109-1430,1.6,125,4.4
1109-1500,1.6,118,4.3
1109-1530,5,001,5
1109-1600,10.1,345,10.4
1109-1630,6.2,315,12
1109-1700,6.4,265,6.5
1109-1730,6.5,262,17
1109-1800,6.1,273,11
1109-1830,5.9,272,7.4
1109-1900,4.9,263,4.9
1109-1930,6,263,6
1109-2000,7.1,261,7.1
1109-2030,6.8,256,6.8
1109-2100,6.6,253,6.6
1109-2130,6.8,252,6.8
1109-2200,6.8,254,6.8
