openWRF 1km
18z_1km_Kiryat_Yam.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,3.3,052,4.9
1108-0730,2.8,047,7.9
1108-0800,3.1,022,9.7
1108-0830,4.2,353,9.9
1108-0900,10.3,352,10.3
1108-0930,11.1,348,11.1
1108-1000,12.2,345,12.6
1108-1030,13.5,341,13.9
1108-1100,13.5,342,14.8
1108-1130,14.3,341,14.3
1108-1200,14.7,342,14.9
1108-1230,14.7,343,15.8
1108-1300,15.4,344,16.9
1108-1330,16.1,346,17.6
1108-1400,16.3,348,16.3
1108-1430,16.5,351,16.5
1108-1500,16.7,353,18.1
1108-1530,16.6,354,17.8
1108-1600,16.2,355,17.8
1108-1630,15.8,355,17.7
1108-1700,15.4,357,17.4
1108-1730,14.8,359,16.8
1108-1800,14.6,002,16.7
1108-1830,12.7,006,16.1
1108-1900,12.1,002,16
1108-1930,11.3,000,16.5
1108-2000,11.4,357,16.8
1108-2030,11.4,359,17.1
1108-2100,11.4,001,17
1108-2130,10.7,359,16
1108-2200,10,359,14.9
1108-2230,10,357,14.2
1108-2300,10.2,355,13.9
1109--070,10.6,357,14.7
1109-0000,10.4,359,15.5
1109-0030,10.6,360,15.1
1109-0100,10.5,005,15.7
1109-0130,10.8,005,15.2
1109-0200,11.4,005,15.5
1109-0230,11.7,005,15.8
1109-0300,11.9,005,15.9
1109-0330,12.1,005,15.6
1109-0400,11.1,013,15
1109-0430,9.1,023,15.1
1109-0500,5.9,036,8.5
1109-0530,5.1,028,7.5
1109-0600,5.1,026,13.5
1109-0630,5,022,13.3
1109-0700,5.1,023,14.2
1109-0730,5.2,023,12.9
1109-0800,5.1,019,11.1
1109-0830,4.2,035,9.5
1109-0900,9.2,008,9.7
1109-0930,12.9,360,12.9
1109-1000,13.2,355,13.2
1109-1030,13.8,352,13.9
1109-1100,15.2,351,15.2
1109-1130,16,351,16
1109-1200,17.4,349,17.4
1109-1230,18.3,350,19.4
1109-1300,18.8,352,20.8
1109-1330,19.2,353,19.5
1109-1400,19.8,354,21.3
1109-1430,20.3,356,22.5
1109-1500,20.6,358,24
1109-1530,20.1,359,23.7
1109-1600,19.1,360,22.9
1109-1630,18.1,001,21.8
1109-1700,17,002,20.6
1109-1730,16.4,000,18.6
1109-1800,14.8,000,16.7
1109-1830,13.1,358,15.6
1109-1900,14.1,357,15.8
1109-1930,16.6,355,19
1109-2000,16.5,355,20.4
1109-2030,16.1,355,19.1
1109-2100,16.2,357,18.4
1109-2130,15.6,359,16.3
1109-2200,15.1,359,15.9
