openWRF 1km
18z_1km_Kiryat_Yam_wind_station.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,2.1,056,4
1108-0730,2.1,040,3.2
1108-0800,2.4,022,8.2
1108-0830,4.7,353,11.4
1108-0900,10,349,10
1108-0930,10.6,345,10.6
1108-1000,11.9,342,11.9
1108-1030,13.2,339,13.2
1108-1100,13,340,13
1108-1130,13.8,339,13.8
1108-1200,14.4,340,14.4
1108-1230,14.4,341,14.5
1108-1300,15.1,341,15.1
1108-1330,15.6,344,15.6
1108-1400,15.7,347,15.7
1108-1430,15.9,349,15.9
1108-1500,16.1,351,16.1
1108-1530,15.9,352,15.9
1108-1600,15.4,353,15.4
1108-1630,14.5,353,17.4
1108-1700,13.6,356,16.9
1108-1730,12.4,358,16.3
1108-1800,11.6,360,16.2
1108-1830,9.9,001,15.7
1108-1900,9.3,357,16.6
1108-1930,8.6,354,15.3
1108-2000,8.4,352,15.9
1108-2030,7.8,354,16.5
1108-2100,7.3,356,16.1
1108-2130,6.8,354,14.7
1108-2200,6.1,352,10.2
1108-2230,6.4,349,10.1
1108-2300,6.8,349,10.3
1109--070,6.6,353,10.4
1109-0000,7,354,10.7
1109-0030,6.8,356,10.2
1109-0100,6.7,360,10
1109-0130,7.2,359,10.7
1109-0200,7.4,002,11.3
1109-0230,7.5,003,11.7
1109-0300,6.6,007,13.9
1109-0330,6.6,010,13.8
1109-0400,3.1,033,13.4
1109-0430,2.9,037,13.1
1109-0500,2.6,035,7.8
1109-0530,1.9,023,1.9
1109-0600,2,024,2
1109-0630,1.6,023,1.6
1109-0700,1.9,025,6.8
1109-0730,2.6,018,5.9
1109-0800,2.9,011,11.1
1109-0830,2.5,033,8.1
1109-0900,2.9,360,8.3
1109-0930,10.4,360,10.4
1109-1000,11.6,354,11.6
1109-1030,12.6,350,12.6
1109-1100,14.4,349,14.4
1109-1130,15.3,349,15.4
1109-1200,16.6,348,16.6
1109-1230,17.7,348,17.7
1109-1300,18.3,350,18.3
1109-1330,18.7,351,18.8
1109-1400,19.3,352,20.8
1109-1430,19.6,354,22
1109-1500,19.8,355,23.2
1109-1530,18.8,356,23.2
1109-1600,16.9,356,21.8
1109-1630,14.9,357,20.3
1109-1700,13,357,19.4
1109-1730,12.2,356,17.4
1109-1800,9.6,355,16.5
1109-1830,8.1,351,16.8
1109-1900,8.5,351,15.7
1109-1930,11.1,352,16.1
1109-2000,11.8,351,18.2
1109-2030,11.5,352,16.7
1109-2100,10.7,354,16.8
1109-2130,9.8,356,16.4
1109-2200,9.2,355,16.5
