openWRF 1km
18z_1km_Maagar_Bnei_Israel.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,10.3,057,11.4
1108-0730,9.8,064,14
1108-0800,9.4,069,9.3
1108-0830,9,085,9
1108-0900,8.9,087,8.8
1108-0930,8,095,8
1108-1000,8.1,101,8.1
1108-1030,7.3,105,7.3
1108-1100,6.5,113,6.8
1108-1130,5.6,114,6
1108-1200,3.9,122,4.6
1108-1230,3.6,147,4.8
1108-1300,3.9,152,3.9
1108-1330,2,161,4.6
1108-1400,3.7,280,3.7
1108-1430,5.6,302,5.7
1108-1500,8.7,308,8.7
1108-1530,9.7,319,9.7
1108-1600,11,331,11
1108-1630,8.5,327,9.8
1108-1700,7.7,325,8.2
1108-1730,7,329,7.9
1108-1800,7.1,334,11.1
1108-1830,6.6,346,8.8
1108-1900,6,347,7.8
1108-1930,5.6,340,7.5
1108-2000,5.5,334,7
1108-2030,5.1,327,6.9
1108-2100,4.5,323,6.6
1108-2130,3.9,321,3.9
1108-2200,3.5,312,3.5
1108-2230,3.2,312,3.2
1108-2300,2.6,317,2.6
1109--070,1,009,1
1109-0000,2.2,088,2.2
1109-0030,3.2,087,3.2
1109-0100,3.3,068,3.3
1109-0130,3,060,3
1109-0200,3.3,074,3.3
1109-0230,6.9,085,6.9
1109-0300,8.2,074,10.5
1109-0330,8,063,10.5
1109-0400,7.8,058,9.8
1109-0430,7.4,054,7.4
1109-0500,6.9,051,6.9
1109-0530,6.2,052,6.2
1109-0600,6.5,054,6.5
1109-0630,7.3,050,8.6
1109-0700,6.8,053,11.2
1109-0730,7.4,073,11.6
1109-0800,9.6,071,11.5
1109-0830,10.8,081,12.2
1109-0900,11.9,083,11.9
1109-0930,10.4,078,10.4
1109-1000,8.4,080,10.3
1109-1030,7.4,083,9.5
1109-1100,6.5,091,7.4
1109-1130,6.6,100,7.1
1109-1200,6.7,105,6.9
1109-1230,6.9,103,6.9
1109-1300,6.4,100,6.4
1109-1330,6.3,117,6.3
1109-1400,5.7,119,5.7
1109-1430,4.1,110,4.1
1109-1500,3.1,106,3.3
1109-1530,1.4,113,2.1
1109-1600,10.1,329,12
1109-1630,6.6,330,6.6
1109-1700,7.5,337,9.3
1109-1730,7.1,350,7.2
1109-1800,6.3,354,6.7
1109-1830,5.9,002,5.9
1109-1900,5.9,045,5.9
1109-1930,8.9,043,8.9
1109-2000,8.7,054,11.3
1109-2030,8.5,054,8.5
1109-2100,8.4,052,10.9
1109-2130,8.3,054,11.3
1109-2200,8.1,055,11.3
