openWRF 1km
18z_1km_Maayan_Tzvi.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,6,036,8.9
1108-0730,9.7,012,12.6
1108-0800,11.4,002,13.2
1108-0830,12.5,358,13.2
1108-0900,13.1,355,13.1
1108-0930,13.2,352,13.3
1108-1000,13.6,351,14
1108-1030,14.1,349,14.8
1108-1100,14.3,346,15.4
1108-1130,14.1,345,14.4
1108-1200,14.2,348,15.1
1108-1230,15.2,350,15.6
1108-1300,16.3,349,16.6
1108-1330,16.7,355,17.3
1108-1400,17.3,355,18.3
1108-1430,18.4,352,19
1108-1500,18.1,355,19.7
1108-1530,18.6,359,19.3
1108-1600,18.1,356,19.8
1108-1630,18,359,19.5
1108-1700,18.1,360,19.5
1108-1730,17.8,001,19.6
1108-1800,17.4,002,19.4
1108-1830,17.3,003,19
1108-1900,16.4,005,18.1
1108-1930,15.9,007,17.3
1108-2000,15.3,010,16.5
1108-2030,13.8,014,15.7
1108-2100,11.6,019,16.5
1108-2130,12.4,015,16.6
1108-2200,11.8,018,16.3
1108-2230,11.6,018,15.2
1108-2300,12,016,16.1
1109--070,13,014,16.1
1109-0000,13,014,16.1
1109-0030,13.3,014,16.4
1109-0100,13.7,013,16.6
1109-0130,13.5,016,16.8
1109-0200,13.3,016,17
1109-0230,13.4,014,16.8
1109-0300,13.5,015,17
1109-0330,13.9,013,16.9
1109-0400,14.1,013,16.4
1109-0430,14.2,013,15.7
1109-0500,14.4,012,15.4
1109-0530,14,013,14.9
1109-0600,13.9,013,14.6
1109-0630,14.2,010,14.3
1109-0700,14.8,008,15.1
1109-0730,16.3,004,16.3
1109-0800,17.2,002,17.2
1109-0830,17.2,001,17.2
1109-0900,17.7,358,17.7
1109-0930,18,357,18
1109-1000,18.1,354,18.1
1109-1030,18.4,352,18.4
1109-1100,18.5,351,18.5
1109-1130,18.3,353,18.3
1109-1200,19.1,352,19.7
1109-1230,19.9,353,21.3
1109-1300,20.9,353,22.6
1109-1330,20.6,355,23.2
1109-1400,20.8,357,22.7
1109-1430,21,357,23.8
1109-1500,21.2,359,24.4
1109-1530,20.4,359,25
1109-1600,20.7,002,24.6
1109-1630,20.4,004,24
1109-1700,20,004,24.2
1109-1730,20.2,002,24.5
1109-1800,20.3,002,24
1109-1830,20,003,24.2
1109-1900,19.2,003,23.3
1109-1930,18.9,002,22.9
1109-2000,19.1,003,23.2
1109-2030,18.1,005,22.3
1109-2100,17.8,003,21.5
1109-2130,17.7,004,21
1109-2200,17.2,005,20.9
