openWRF 1km
18z_1km_Nahsholim_Club.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,7.9,024,11
1108-0730,10.7,010,12.8
1108-0800,11.6,003,13.3
1108-0830,12.4,359,13.5
1108-0900,12.9,357,13.3
1108-0930,12.7,354,13.7
1108-1000,13.3,353,14.1
1108-1030,13.6,350,14.7
1108-1100,14,347,14
1108-1130,13.9,346,14.5
1108-1200,14.1,350,15.1
1108-1230,15.4,350,15.7
1108-1300,15.4,348,17
1108-1330,16.4,351,17.7
1108-1400,17.2,355,18.5
1108-1430,17.3,354,19.3
1108-1500,18.7,359,19.2
1108-1530,18.5,358,19.8
1108-1600,18.1,359,19.3
1108-1630,18.1,359,19.4
1108-1700,17.9,359,19.6
1108-1730,17.9,002,19.5
1108-1800,17.7,003,19.3
1108-1830,17.6,003,19.1
1108-1900,16.8,005,18.4
1108-1930,16.3,006,17.4
1108-2000,16.1,007,16.7
1108-2030,14.8,012,16.1
1108-2100,12.4,018,15.4
1108-2130,12.9,015,16.2
1108-2200,12.7,016,14.8
1108-2230,12.4,017,14.6
1108-2300,13.1,013,14.2
1109--070,13.9,011,13.9
1109-0000,13.8,012,13.8
1109-0030,13.9,013,13.9
1109-0100,14.1,013,14.2
1109-0130,13.9,015,14.9
1109-0200,13.7,015,14.9
1109-0230,13.9,014,17
1109-0300,14,015,17.3
1109-0330,14.5,013,17.3
1109-0400,14.8,013,17.1
1109-0430,14.8,013,16.5
1109-0500,15,012,16.1
1109-0530,15,011,15.7
1109-0600,14.9,011,15.5
1109-0630,15.2,009,15.3
1109-0700,15.8,007,15.8
1109-0730,16.9,004,16.9
1109-0800,17.1,002,17.1
1109-0830,17.3,002,17.3
1109-0900,17.7,360,17.7
1109-0930,18.1,359,18.1
1109-1000,18.3,356,18.3
1109-1030,18.5,353,18.5
1109-1100,18.7,352,18.7
1109-1130,18.7,353,18.7
1109-1200,19.5,353,20
1109-1230,20.2,353,21.4
1109-1300,20.4,355,22.4
1109-1330,20.7,358,21.1
1109-1400,20.5,357,22.9
1109-1430,20.7,358,23.7
1109-1500,20.7,359,24.7
1109-1530,20.9,001,24.9
1109-1600,20.8,003,24.8
1109-1630,20.6,004,24.6
1109-1700,20.4,004,24.1
1109-1730,20.5,002,24.7
1109-1800,20.5,003,24.2
1109-1830,20.3,003,24.4
1109-1900,19.5,004,23.5
1109-1930,19.2,003,23
1109-2000,19.3,003,23.4
1109-2030,18.8,005,22.7
1109-2100,18.7,003,22
1109-2130,18.5,003,21.8
1109-2200,17.9,004,21.5
