openWRF 1km
18z_1km_Neve_Yam.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,11,013,12.9
1108-0730,11,012,13.1
1108-0800,12.2,005,14.5
1108-0830,12.4,003,14
1108-0900,12.4,359,14.2
1108-0930,12.2,359,14.6
1108-1000,13.2,357,14.5
1108-1030,13.1,353,13.6
1108-1100,13.3,351,14.1
1108-1130,13.4,350,14.6
1108-1200,13.6,350,14.8
1108-1230,14.9,353,15.6
1108-1300,15.1,351,15.1
1108-1330,15.4,354,15.3
1108-1400,16.2,356,18.2
1108-1430,17.4,359,17.4
1108-1500,17.8,360,19.1
1108-1530,17.8,002,19.2
1108-1600,17.9,002,19.3
1108-1630,17.8,002,19.1
1108-1700,17.7,003,19.2
1108-1730,17.6,005,19.3
1108-1800,17.3,006,19.3
1108-1830,17.3,006,19.1
1108-1900,16.8,008,18.3
1108-1930,16.3,008,17.7
1108-2000,16.5,009,17.4
1108-2030,15.8,012,16.9
1108-2100,13.9,016,16.2
1108-2130,14,014,15.8
1108-2200,13.8,012,15.4
1108-2230,13.9,012,15.4
1108-2300,14.3,011,15.1
1109--070,14.5,010,14.8
1109-0000,14.4,011,14.8
1109-0030,14.4,013,15.1
1109-0100,14.7,012,15.4
1109-0130,14.8,013,16
1109-0200,14.7,014,15.8
1109-0230,15,013,17.7
1109-0300,15,015,17.9
1109-0330,15.2,012,18
1109-0400,15.4,013,18.1
1109-0430,15.5,013,17.9
1109-0500,15.6,011,17.7
1109-0530,15.5,011,17.4
1109-0600,15.6,011,17.2
1109-0630,15.7,010,17.1
1109-0700,16,008,17.1
1109-0730,16.4,008,17
1109-0800,16.6,007,17
1109-0830,17,006,17
1109-0900,17.2,005,17.2
1109-0930,17.1,004,17.3
1109-1000,17.3,000,17.3
1109-1030,17.7,358,17.7
1109-1100,18.1,355,18.1
1109-1130,18.3,355,18.3
1109-1200,18.9,356,19.6
1109-1230,18.8,357,18.8
1109-1300,19.2,359,19.2
1109-1330,19,001,21.1
1109-1400,19.3,002,22
1109-1430,19.8,003,23
1109-1500,19.7,004,23.5
1109-1530,20.3,006,24.3
1109-1600,20.1,007,24
1109-1630,19.5,007,23.5
1109-1700,19.4,006,23.8
1109-1730,19.7,006,23.9
1109-1800,19.6,008,23.8
1109-1830,19.6,007,23.2
1109-1900,19.1,007,22.8
1109-1930,19,006,22.3
1109-2000,19.1,007,23.1
1109-2030,18.7,008,22.5
1109-2100,18.5,006,21.6
1109-2130,18,006,21.1
1109-2200,17.8,006,21.1
