openWRF 1km
18z_1km_Nirvana.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,10.3,032,12.4
1108-0730,10.4,030,13.8
1108-0800,10.7,031,13.9
1108-0830,10,027,13.8
1108-0900,10.2,018,13
1108-0930,11,011,12.9
1108-1000,11.1,004,12.6
1108-1030,11.2,358,12.5
1108-1100,11.2,353,12.9
1108-1130,11.4,350,13.5
1108-1200,12.7,350,13.7
1108-1230,13,351,13
1108-1300,13.7,352,13.7
1108-1330,14.1,354,14.3
1108-1400,14.6,357,15.1
1108-1430,15.1,000,15.4
1108-1500,15.3,004,15.6
1108-1530,15.3,006,15.5
1108-1600,15,005,15.2
1108-1630,14.2,005,14.9
1108-1700,13.6,007,16.3
1108-1730,13.8,011,16.5
1108-1800,13.8,011,14.9
1108-1830,13.8,013,14.4
1108-1900,13.5,014,16
1108-1930,13.8,014,15.9
1108-2000,13.8,015,15.8
1108-2030,13,021,15.5
1108-2100,13,021,15.3
1108-2130,12.7,019,14.9
1108-2200,12.5,019,14.8
1108-2230,12.7,019,14.9
1108-2300,12.6,016,14.6
1109--070,12.9,015,14.4
1109-0000,13.3,016,14.6
1109-0030,13.5,019,14.6
1109-0100,13.9,019,16.3
1109-0130,14.3,020,16.8
1109-0200,14.8,021,17.3
1109-0230,14.9,022,17.6
1109-0300,14.8,024,17.8
1109-0330,14.2,024,17.7
1109-0400,14.4,024,17.7
1109-0430,14.2,027,17.7
1109-0500,14.2,025,17.9
1109-0530,14.4,025,17.7
1109-0600,14.8,026,17.9
1109-0630,14.7,027,17.8
1109-0700,14.3,026,17.8
1109-0730,14.8,023,17.3
1109-0800,14.8,021,17.1
1109-0830,15.1,020,17.2
1109-0900,15.4,019,17.3
1109-0930,15.3,017,15.4
1109-1000,14.9,016,14.9
1109-1030,14.5,012,14.4
1109-1100,14.7,008,14.7
1109-1130,14.7,005,14.7
1109-1200,15.2,002,15.2
1109-1230,16,003,15.9
1109-1300,16.1,004,17.6
1109-1330,16.6,005,18.9
1109-1400,16.7,007,19.6
1109-1430,17,008,20.5
1109-1500,17.4,009,21.3
1109-1530,16.7,012,20.9
1109-1600,16.2,017,20.5
1109-1630,15.7,019,20.6
1109-1700,15.8,019,21.1
1109-1730,16.3,018,21.1
1109-1800,16.1,020,21
1109-1830,15.8,020,20.5
1109-1900,15.4,020,20.6
1109-1930,15.2,019,20.5
1109-2000,15.5,018,20.2
1109-2030,15.9,021,20.2
1109-2100,15.5,021,20
1109-2130,15,023,18.5
1109-2200,14.5,021,19.2
