openWRF 1km
18z_1km_Poleg.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,5.3,031,8.2
1108-0730,6.3,030,10.4
1108-0800,6.4,020,12
1108-0830,9,006,12.5
1108-0900,9.2,359,11.7
1108-0930,10,352,11.5
1108-1000,10.8,350,10.8
1108-1030,11.6,344,11.6
1108-1100,12.1,342,12.1
1108-1130,12.8,343,12.8
1108-1200,13.4,343,13.4
1108-1230,14,345,14
1108-1300,15.1,347,15.1
1108-1330,16.3,348,16.3
1108-1400,16.3,350,16.3
1108-1430,16.5,352,16.4
1108-1500,17.5,354,18.3
1108-1530,16.4,358,16.4
1108-1600,15.7,001,17.8
1108-1630,15.7,359,18.3
1108-1700,14.5,002,17.7
1108-1730,14,004,17.5
1108-1800,13,005,16.6
1108-1830,13,009,16.8
1108-1900,12.7,007,17.3
1108-1930,10.8,010,17.1
1108-2000,9.8,014,14.4
1108-2030,7.4,018,13.6
1108-2100,5.2,025,13.4
1108-2130,6.7,024,13.9
1108-2200,7.4,022,13.9
1108-2230,7,023,13.4
1108-2300,6.3,030,13
1109--070,6.8,028,12.7
1109-0000,7.2,027,12.2
1109-0030,6.7,029,15.3
1109-0100,5.9,033,15.4
1109-0130,6,043,15.9
1109-0200,6.1,036,15.7
1109-0230,5.9,034,15.9
1109-0300,5.7,033,15.7
1109-0330,7,025,15.8
1109-0400,6.4,031,16.1
1109-0430,7.2,028,16.5
1109-0500,7.1,029,16.1
1109-0530,6.6,029,15.8
1109-0600,7,026,15.8
1109-0630,8,022,15.9
1109-0700,9.1,017,9.1
1109-0730,9.6,017,13.7
1109-0800,15.1,007,15.1
1109-0830,15.9,004,15.9
1109-0900,15.8,005,15.8
1109-0930,15.4,003,15.4
1109-1000,15.8,359,15.8
1109-1030,16.1,354,16.1
1109-1100,15.8,354,15.8
1109-1130,15.5,352,15.5
1109-1200,15.8,350,15.8
1109-1230,16.7,349,16.7
1109-1300,17.3,348,17.3
1109-1330,18.8,348,19.2
1109-1400,19.6,351,19.6
1109-1430,19.6,351,22.9
1109-1500,19.8,355,23.8
1109-1530,19.8,355,23.9
1109-1600,19.6,359,22.8
1109-1630,18,359,24.2
1109-1700,15.9,359,21.8
1109-1730,14.8,359,21.2
1109-1800,14,001,20.8
1109-1830,13.5,004,22.3
1109-1900,12.5,007,21.5
1109-1930,11.3,009,18.1
1109-2000,11.2,006,17.9
1109-2030,10.9,007,17.8
1109-2100,11.1,006,17.5
1109-2130,11,006,17.1
1109-2200,10.2,009,17.3
