openWRF 1km
18z_1km_Sdot_Yam.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,6.2,051,7.6
1108-0730,6.3,038,10.9
1108-0800,8,011,12.8
1108-0830,11.4,002,13.3
1108-0900,12.2,357,13.3
1108-0930,12.8,352,13.1
1108-1000,13.2,348,14.2
1108-1030,14.1,346,14.8
1108-1100,14.6,344,15.5
1108-1130,14.8,342,16
1108-1200,15.1,345,15
1108-1230,15.8,347,15.8
1108-1300,16.6,349,16.9
1108-1330,16.9,350,17.8
1108-1400,18,349,18.6
1108-1430,18,350,19.3
1108-1500,19,354,20
1108-1530,19,357,19.5
1108-1600,17.9,356,19.4
1108-1630,18.1,355,19.3
1108-1700,18.1,357,19
1108-1730,17.2,356,18.5
1108-1800,17.3,002,18.8
1108-1830,17,003,18.3
1108-1900,16.7,003,17.8
1108-1930,16.3,004,17.1
1108-2000,15.6,005,16.4
1108-2030,14.4,011,15.7
1108-2100,11.9,021,16.4
1108-2130,11.6,017,16.1
1108-2200,12.9,015,16.2
1108-2230,12.7,016,16.2
1108-2300,12.6,016,16
1109--070,12.1,020,15
1109-0000,11.3,021,14.9
1109-0030,11.9,019,15
1109-0100,12.4,019,15.8
1109-0130,9.3,043,12.6
1109-0200,8.9,039,12.3
1109-0230,8.6,037,12.1
1109-0300,8.1,037,11.7
1109-0330,8.4,035,12.2
1109-0400,8.8,033,12.5
1109-0430,8,036,12.1
1109-0500,9,032,12.7
1109-0530,11.6,023,16.3
1109-0600,10.1,031,13.2
1109-0630,12.3,018,16.2
1109-0700,14.7,010,15.3
1109-0730,16.3,005,16.3
1109-0800,16.8,003,16.8
1109-0830,17.1,004,17.1
1109-0900,16.7,003,16.7
1109-0930,16.3,001,16.3
1109-1000,16.5,357,16.5
1109-1030,16.8,355,16.8
1109-1100,16.8,354,16.8
1109-1130,16.9,352,17.2
1109-1200,17.8,352,19
1109-1230,18.9,352,18.9
1109-1300,19.9,352,19.9
1109-1330,20.7,351,23.6
1109-1400,21.2,354,22.6
1109-1430,21.7,355,24.1
1109-1500,22.2,358,24.9
1109-1530,21.7,355,25.2
1109-1600,21.2,355,25.4
1109-1630,20.7,356,25.1
1109-1700,20.8,357,25.3
1109-1730,21,357,25.3
1109-1800,20.8,357,24.9
1109-1830,20.2,359,24.2
1109-1900,19.2,001,23.3
1109-1930,17.8,004,22.5
1109-2000,17.4,003,22
1109-2030,17.4,005,21.8
1109-2100,17.4,006,21.4
1109-2130,17.3,007,21.2
1109-2200,16.8,007,20.7
