openWRF 1km
18z_1km_Shavei_Tzion.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,3.2,082,4.7
1108-0730,2.5,015,5.2
1108-0800,10.8,004,11.9
1108-0830,11.4,001,12.3
1108-0900,12.5,359,12.8
1108-0930,13.2,356,14
1108-1000,13.8,352,14.9
1108-1030,14.6,349,15.7
1108-1100,14.9,350,14.9
1108-1130,15.1,349,15.1
1108-1200,15.4,350,16
1108-1230,15.8,350,16.9
1108-1300,16.3,352,17.7
1108-1330,16.9,354,16.9
1108-1400,17.3,355,17.3
1108-1430,17.3,359,17.3
1108-1500,17.5,359,18.9
1108-1530,17.4,000,18.9
1108-1600,17.1,002,18.7
1108-1630,17,003,18.6
1108-1700,16.3,006,18.2
1108-1730,15.8,008,17.8
1108-1800,13.7,014,17.6
1108-1830,13.3,015,17.6
1108-1900,11.3,017,17.3
1108-1930,8.2,022,16.1
1108-2000,7.6,022,16.7
1108-2030,7.3,030,16.6
1108-2100,7.5,028,16
1108-2130,7.9,025,15.9
1108-2200,7.6,028,15.5
1108-2230,7.8,027,14.7
1108-2300,7.4,027,15
1109--070,7.5,036,14.5
1109-0000,7.8,027,15.1
1109-0030,7.6,025,15.8
1109-0100,7.1,036,9.3
1109-0130,7.5,038,8.9
1109-0200,7.8,042,12.9
1109-0230,7.7,040,12.5
1109-0300,7.8,041,12.5
1109-0330,8.1,038,12.6
1109-0400,8.1,041,12
1109-0430,8.2,041,11.8
1109-0500,8.4,035,12.1
1109-0530,8.4,034,11.4
1109-0600,8.8,033,12.5
1109-0630,8.8,027,13.4
1109-0700,8.7,019,14.3
1109-0730,9.8,012,14.5
1109-0800,14.2,008,14.2
1109-0830,15.9,005,15.9
1109-0900,16.3,003,16.3
1109-0930,16.3,001,16.3
1109-1000,15.5,360,15.5
1109-1030,15.2,359,15.2
1109-1100,15.8,356,15.8
1109-1130,16.2,356,16.8
1109-1200,17.1,357,17.1
1109-1230,18.1,357,18.1
1109-1300,18.7,359,18.9
1109-1330,19.6,360,20.7
1109-1400,20.1,001,21.8
1109-1430,20.6,003,22.9
1109-1500,20.6,004,23.6
1109-1530,20.3,005,23.8
1109-1600,19.7,007,23.4
1109-1630,18.8,009,22.7
1109-1700,17.6,011,22.4
1109-1730,15.7,011,20.9
1109-1800,14.6,010,20
1109-1830,13.6,008,18.9
1109-1900,15.7,007,20.7
1109-1930,17,008,21.8
1109-2000,16.8,007,21.2
1109-2030,15.7,007,20.2
1109-2100,15.3,006,18.9
1109-2130,14.9,008,18.3
1109-2200,14.3,009,17.7
