openWRF 1km
18z_1km_Shavei_Tzion_wind_station.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,3.1,086,5
1108-0730,2.3,009,5.1
1108-0800,10.5,000,11.5
1108-0830,11.6,357,11.9
1108-0900,12.9,355,12.8
1108-0930,13.6,353,13.7
1108-1000,14,350,14.9
1108-1030,14.6,348,15.8
1108-1100,14.9,348,14.9
1108-1130,15.2,349,15.2
1108-1200,15.5,350,16
1108-1230,16,350,16.9
1108-1300,16.5,351,16.5
1108-1330,17,354,17
1108-1400,17.4,355,17.4
1108-1430,17.5,358,18.7
1108-1500,17.6,359,18.8
1108-1530,17.5,360,18.9
1108-1600,16.8,002,18.7
1108-1630,16.1,002,18.5
1108-1700,15,006,18.1
1108-1730,13.8,008,17.6
1108-1800,11,014,17.3
1108-1830,10,015,18
1108-1900,7,023,15.4
1108-1930,5.6,031,15.2
1108-2000,6.3,029,9.8
1108-2030,6.7,036,10
1108-2100,7.2,032,10
1108-2130,7.5,030,9.6
1108-2200,7.6,034,9
1108-2230,7.7,032,9
1108-2300,7.6,032,9
1109--070,7.9,038,8.7
1109-0000,7.6,033,9.6
1109-0030,7.4,033,10
1109-0100,7.5,040,9.4
1109-0130,7.7,042,9
1109-0200,8,045,8.1
1109-0230,8,043,8.2
1109-0300,8,043,8.6
1109-0330,8.3,040,9.3
1109-0400,8.5,041,9.6
1109-0430,8.7,041,10.3
1109-0500,8.9,035,10.8
1109-0530,8.9,034,13.3
1109-0600,9.3,034,14.2
1109-0630,8.9,026,12.3
1109-0700,8.1,017,11.8
1109-0730,7,010,13.2
1109-0800,10.8,007,11.3
1109-0830,14.3,003,14.3
1109-0900,15.3,360,15.3
1109-0930,15.7,359,15.7
1109-1000,15.3,357,15.3
1109-1030,15.3,356,15.2
1109-1100,15.9,354,15.9
1109-1130,16.5,354,16.5
1109-1200,17.3,355,18.1
1109-1230,18.1,356,18.1
1109-1300,18.9,357,18.9
1109-1330,19.8,358,20.3
1109-1400,20.2,360,21.7
1109-1430,20.6,001,22.8
1109-1500,20.4,003,23.5
1109-1530,19.7,004,23.7
1109-1600,17.9,006,22.9
1109-1630,16,008,22.2
1109-1700,14,009,21.1
1109-1730,11.8,010,17.8
1109-1800,10.2,009,16.9
1109-1830,9.2,010,15.7
1109-1900,11.3,006,17.5
1109-1930,13.8,006,19.9
1109-2000,14.3,004,19
1109-2030,12.6,004,16.6
1109-2100,12.2,005,14.8
1109-2130,10.4,011,13.7
1109-2200,9.2,017,13.5
