openWRF 1km
18z_1km_Tel_Aviv_Geula.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,7,031,9.2
1108-0730,6.7,027,9.4
1108-0800,6.5,020,9.3
1108-0830,7.7,013,11.4
1108-0900,7.6,005,11.8
1108-0930,8.3,360,11.7
1108-1000,9.1,352,11.4
1108-1030,9.9,346,11.5
1108-1100,11.1,343,11.8
1108-1130,12.8,347,12.8
1108-1200,13.7,345,14
1108-1230,14.1,349,14.2
1108-1300,15.5,356,15.6
1108-1330,16,357,16.3
1108-1400,16.1,358,17.1
1108-1430,16.9,359,17.1
1108-1500,16.3,356,17.7
1108-1530,16,358,18.1
1108-1600,16.6,002,17.9
1108-1630,17.4,004,17.9
1108-1700,16.4,004,18.2
1108-1730,15.6,011,17.1
1108-1800,15.4,009,17.1
1108-1830,15.2,013,16.8
1108-1900,14.3,019,16.4
1108-1930,13.3,019,15.8
1108-2000,11.6,019,14.9
1108-2030,10.2,024,15
1108-2100,9.3,027,15
1108-2130,9.3,021,15.5
1108-2200,10.1,021,14.6
1108-2230,10.2,022,13.9
1108-2300,10.8,023,14.8
1109--070,11.2,023,15.2
1109-0000,11,023,15.2
1109-0030,11.6,020,15.7
1109-0100,12,022,16.3
1109-0130,11.8,028,16.4
1109-0200,11.3,029,15.8
1109-0230,10.9,029,16.3
1109-0300,11.7,023,17.1
1109-0330,12.3,020,17.7
1109-0400,12.2,024,17.3
1109-0430,12.3,022,17.4
1109-0500,12,023,17.6
1109-0530,12.1,021,17.8
1109-0600,12.3,020,18.5
1109-0630,12.9,016,18.8
1109-0700,12.4,017,18.7
1109-0730,11.8,016,17.1
1109-0800,13.7,013,18.9
1109-0830,16.7,009,16.7
1109-0900,16.3,008,16.3
1109-0930,16.3,006,16.3
1109-1000,15.8,003,15.8
1109-1030,15.6,000,15.6
1109-1100,15.7,357,15.7
1109-1130,15.9,356,15.9
1109-1200,16.4,354,16.4
1109-1230,17,352,17
1109-1300,17.6,353,17.6
1109-1330,18.1,350,18.4
1109-1400,18.8,347,20.3
1109-1430,19.3,349,22.7
1109-1500,19.4,352,23.3
1109-1530,19.1,356,23.5
1109-1600,19.6,003,22.7
1109-1630,17.7,004,22.2
1109-1700,16.8,011,20
1109-1730,15.5,011,18.4
1109-1800,13.4,008,19.1
1109-1830,14,009,19.5
1109-1900,14.6,011,19.4
1109-1930,14,010,20.1
1109-2000,13.8,008,18.7
1109-2030,13.7,009,18.5
1109-2100,13.5,009,18
1109-2130,13.4,010,18.1
1109-2200,12.5,010,17
