openWRF 1km
18z_1km_Tel_Aviv_Tel_Baruch.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,5.4,035,8
1108-0730,5.7,026,9.5
1108-0800,6.2,015,12.2
1108-0830,7.6,010,12.1
1108-0900,7.9,001,11.4
1108-0930,8.5,356,11.1
1108-1000,8.5,352,10.9
1108-1030,10.1,343,10.8
1108-1100,10.9,341,10.9
1108-1130,12,343,12
1108-1200,12.9,347,12.9
1108-1230,13.8,347,13.8
1108-1300,14.6,353,14.6
1108-1330,15.1,353,15.1
1108-1400,15.4,355,15.5
1108-1430,15.9,354,15.9
1108-1500,16.4,358,18
1108-1530,15.9,358,17.4
1108-1600,15.5,002,17.6
1108-1630,14.1,004,17.9
1108-1700,13.8,003,17.9
1108-1730,13.2,006,17.4
1108-1800,12.2,010,16.8
1108-1830,12.3,011,16.7
1108-1900,11.4,014,15.6
1108-1930,10.1,015,12.5
1108-2000,8.8,015,11.2
1108-2030,5.8,030,13.4
1108-2100,5.1,026,13.3
1108-2130,5.5,023,13
1108-2200,6.5,022,13
1108-2230,7.2,022,13.8
1108-2300,7.3,026,14.2
1109--070,7.4,025,13.7
1109-0000,7.2,025,13.5
1109-0030,8.3,022,13.4
1109-0100,8.1,026,13.4
1109-0130,7.3,032,13.9
1109-0200,7.3,029,14
1109-0230,7.3,029,14.2
1109-0300,7.7,025,14
1109-0330,8.2,022,13.6
1109-0400,7.9,026,13.6
1109-0430,8,023,13.4
1109-0500,7.9,024,12.5
1109-0530,8.1,022,12.1
1109-0600,8,022,16.6
1109-0630,9.2,018,12.4
1109-0700,10,019,13.4
1109-0730,10.2,017,17.6
1109-0800,12.2,011,14.9
1109-0830,15.7,007,16.3
1109-0900,15.4,007,15.6
1109-0930,15.1,005,15.1
1109-1000,14.9,002,14.9
1109-1030,14.8,359,14.8
1109-1100,14.8,357,14.8
1109-1130,15.3,354,15.3
1109-1200,15.7,352,15.7
1109-1230,16,351,16
1109-1300,17.2,351,17.2
1109-1330,17.1,349,17.1
1109-1400,18.1,351,18.1
1109-1430,18.1,351,18.1
1109-1500,18.2,356,18.8
1109-1530,17.8,357,19.5
1109-1600,17.4,002,22.6
1109-1630,16.3,006,21
1109-1700,14.7,006,21.4
1109-1730,13.7,014,18.1
1109-1800,12.5,011,18.8
1109-1830,11.6,008,19
1109-1900,11.3,007,20.8
1109-1930,11,006,20.1
1109-2000,10.7,009,19.1
1109-2030,10.1,008,17.9
1109-2100,10.4,008,17.9
1109-2130,9.7,008,17.1
1109-2200,9.8,011,16.5
