openWRF 1km
18z_1km_Zikim.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,3.8,065,5
1108-0730,2.6,042,6.1
1108-0800,3.2,009,8
1108-0830,4.6,007,11
1108-0900,6.3,004,10.2
1108-0930,7.1,003,10.1
1108-1000,7.1,356,10.1
1108-1030,8.3,351,10.9
1108-1100,9.9,354,11.7
1108-1130,11,354,12.5
1108-1200,11.7,356,13.9
1108-1230,12.2,356,14.8
1108-1300,14.1,359,15.1
1108-1330,14.7,360,16.1
1108-1400,14.4,359,16.3
1108-1430,15.3,005,16.6
1108-1500,15.4,004,17.4
1108-1530,16,008,18.2
1108-1600,15.6,007,17.9
1108-1630,15.3,011,17.8
1108-1700,15.5,013,18.6
1108-1730,15.8,015,18.6
1108-1800,16.2,019,17.7
1108-1830,15.6,021,17.8
1108-1900,14.9,024,17.9
1108-1930,14.3,027,16.5
1108-2000,13.6,030,15.7
1108-2030,12.1,025,16.1
1108-2100,11.3,029,14.8
1108-2130,11.3,023,16.3
1108-2200,12.8,023,14.7
1108-2230,12.7,023,14.8
1108-2300,12.1,024,15
1109--070,12.5,025,14.9
1109-0000,12.5,021,14.7
1109-0030,12.1,021,14.6
1109-0100,12.2,019,14.8
1109-0130,10.5,033,13.2
1109-0200,7.3,077,10.1
1109-0230,6.6,059,10.5
1109-0300,7.1,058,9.5
1109-0330,6.7,062,8.9
1109-0400,7.2,069,9.8
1109-0430,7.1,070,9.8
1109-0500,6.1,065,9
1109-0530,6.4,052,9.7
1109-0600,5.6,058,9.1
1109-0630,6.9,048,10.6
1109-0700,8.3,031,12.2
1109-0730,11.7,023,15.6
1109-0800,13.5,017,14.4
1109-0830,13.5,015,14.3
1109-0900,13.3,017,16.3
1109-0930,12.7,015,16.1
1109-1000,13.4,015,15.1
1109-1030,12.5,011,14.5
1109-1100,12.4,005,14.7
1109-1130,12.3,360,14.5
1109-1200,13,358,14
1109-1230,13.3,355,14.6
1109-1300,13.7,353,14.7
1109-1330,14.5,352,15.8
1109-1400,14.9,352,16.7
1109-1430,14.9,353,17.4
1109-1500,14.8,357,17.2
1109-1530,14,001,18.3
1109-1600,14.2,010,17.2
1109-1630,12.7,015,17.9
1109-1700,12.8,020,17
1109-1730,13.1,020,17.4
1109-1800,13,021,17
1109-1830,13.1,020,16.2
1109-1900,12.5,017,16.4
1109-1930,12.8,018,15.7
1109-2000,12.5,017,15.5
1109-2030,11.9,015,14.6
1109-2100,11.4,013,15.5
1109-2130,11,014,14.9
1109-2200,10.9,015,14.7
