openWRF 1km
18z_1km_Zikim_wind_station.csv
Date/Time,Wind Speed,Direction,Gusts
1108-0700,3.3,063,5.6
1108-0730,2.6,035,6.4
1108-0800,3.5,004,11.5
1108-0830,5.5,003,11.4
1108-0900,6.9,002,10.5
1108-0930,7.3,359,10.4
1108-1000,7.4,353,10.8
1108-1030,8.4,350,10.9
1108-1100,10.1,355,11.3
1108-1130,10.8,353,12
1108-1200,11.5,354,12.1
1108-1230,12.4,355,12.5
1108-1300,13.6,357,14
1108-1330,14.1,358,14.1
1108-1400,14.7,357,14.7
1108-1430,15.1,003,15.4
1108-1500,14.8,002,15.1
1108-1530,15.2,006,15.6
1108-1600,14.8,011,17.3
1108-1630,13.1,012,17.9
1108-1700,13,012,18.1
1108-1730,12.5,015,18.1
1108-1800,12.6,018,14.2
1108-1830,11.8,019,14.2
1108-1900,11,025,14.5
1108-1930,10.2,029,14.2
1108-2000,8.7,032,13.2
1108-2030,6.6,031,10.8
1108-2100,6,037,14
1108-2130,5.9,031,13.7
1108-2200,6.7,025,13.2
1108-2230,7.7,023,13.3
1108-2300,7.6,026,9.8
1109--070,6.8,027,13.3
1109-0000,7.7,023,9.4
1109-0030,7,024,9.6
1109-0100,6.7,024,9.4
1109-0130,5.1,063,14.2
1109-0200,5,071,14
1109-0230,4.7,059,13.8
1109-0300,4.9,063,13.6
1109-0330,4.8,064,11.9
1109-0400,5.1,069,12.3
1109-0430,5,070,5
1109-0500,4.5,065,4.5
1109-0530,4.4,055,13.9
1109-0600,4.4,060,13.3
1109-0630,4.4,067,13.9
1109-0700,4.8,062,4.8
1109-0730,7.4,036,14.9
1109-0800,12.9,018,14
1109-0830,13,015,14
1109-0900,12.5,015,13.4
1109-0930,12.5,014,13
1109-1000,13.4,014,13.5
1109-1030,12.2,009,12.4
1109-1100,12.3,003,13.4
1109-1130,12.2,358,12.4
1109-1200,12.7,356,12.7
1109-1230,12.9,354,12.9
1109-1300,13.7,352,13.7
1109-1330,14.1,352,14.1
1109-1400,14.4,351,14.4
1109-1430,14.5,353,14.5
1109-1500,13.6,358,15.2
1109-1530,13.1,001,15.9
1109-1600,13,009,16.8
1109-1630,11.1,015,17
1109-1700,9.8,021,13
1109-1730,9.4,020,12.7
1109-1800,9.2,021,12.7
1109-1830,8.5,019,14.8
1109-1900,8.5,017,14
1109-1930,9,019,14.7
1109-2000,8,017,14.6
1109-2030,7.1,014,15.8
1109-2100,7.3,014,15.8
1109-2130,7.1,014,16.3
1109-2200,7,016,16.1
