Site,Window,Avg Wind (knots),Dir,Start,End,Duration,Norm_Wind,Norm_Duration,Score
18z_1km_Betzet,08/11 11:00-20:00,18.2,9,1900-11-08 11:00:00,1900-11-08 20:00:00,9.0,0.909090909090909,1.0,0.9454545454545453
18z_1km_Maayan_Tzvi,08/11 12:30-20:00,18.5,359,1900-11-08 12:30:00,1900-11-08 20:00:00,7.5,1.0,0.8125,0.925
18z_1km_Nahsholim_Club,08/11 12:30-20:00,18.5,360,1900-11-08 12:30:00,1900-11-08 20:00:00,7.5,1.0,0.8125,0.925
18z_1km_Sdot_Yam,08/11 12:00-20:00,18.3,357,1900-11-08 12:00:00,1900-11-08 20:00:00,8.0,0.9393939393939397,0.875,0.9136363636363638
18z_1km_Betzet_wind_station,08/11 11:30-20:00,18.0,14,1900-11-08 11:30:00,1900-11-08 20:00:00,8.5,0.8484848484848485,0.9375,0.884090909090909
18z_1km_Ako_Hatmarim,08/11 11:30-20:00,17.8,353,1900-11-08 11:30:00,1900-11-08 20:00:00,8.5,0.7878787878787882,0.9375,0.8477272727272729
18z_1km_Beit_Yanai,08/11 12:30-20:00,17.9,358,1900-11-08 12:30:00,1900-11-08 20:00:00,7.5,0.8181818181818178,0.8125,0.8159090909090907
18z_1km_Neve_Yam,08/11 13:00-20:00,17.9,3,1900-11-08 13:00:00,1900-11-08 20:00:00,7.0,0.8181818181818178,0.75,0.7909090909090907
18z_1km_Shavei_Tzion,08/11 11:30-20:00,17.2,1,1900-11-08 11:30:00,1900-11-08 20:00:00,8.5,0.606060606060606,0.9375,0.7386363636363635
18z_1km_Kiryat_Yam,08/11 13:00-20:00,17.4,354,1900-11-08 13:00:00,1900-11-08 20:00:00,7.0,0.6666666666666663,0.75,0.6999999999999997
18z_1km_Bat_Galim_Club,09/11 11:30-20:00,16.6,3,1900-11-09 11:30:00,1900-11-09 20:00:00,8.5,0.4242424242424248,0.9375,0.6295454545454549
18z_1km_Atlit_Mivtzar,08/11 13:30-20:00,17.1,3,1900-11-08 13:30:00,1900-11-08 20:00:00,6.5,0.5757575757575762,0.6875,0.6204545454545458
18z_1km_Herzliya,08/11 13:30-19:30,17.1,0,1900-11-08 13:30:00,1900-11-08 19:30:00,6.0,0.5757575757575762,0.625,0.5954545454545457
18z_1km_Beit_Yanai_wind_station,08/11 12:30-17:30,17.3,353,1900-11-08 12:30:00,1900-11-08 17:30:00,5.0,0.6363636363636367,0.5,0.581818181818182
18z_1km_Shavei_Tzion_wind_station,08/11 11:30-16:30,17.2,358,1900-11-08 11:30:00,1900-11-08 16:30:00,5.0,0.606060606060606,0.5,0.5636363636363636
18z_1km_Haifa_Shikmona_wind_station,09/11 11:30-20:00,16.0,10,1900-11-09 11:30:00,1900-11-09 20:00:00,8.5,0.2424242424242426,0.9375,0.5204545454545455
18z_1km_Bat_Galim_Church,09/11 11:30-20:00,16.0,10,1900-11-09 11:30:00,1900-11-09 20:00:00,8.5,0.2424242424242426,0.9375,0.5204545454545455
18z_1km_Atlit_Mivtzar_wind_station,08/11 14:00-18:30,16.9,357,1900-11-08 14:00:00,1900-11-08 18:30:00,4.5,0.5151515151515148,0.4375,0.4840909090909089
